track,raceNumber,year,type,fin,st,num,driver,sponsor,C/E/T,laps,money,status,led,pts,ledPts,ledMostPts,polePoints,atp,atp25,xPtsATP,xPtsATP25,xPts,passesFor,passesAgainst,lapOneChange,inTopFive,fastLapRank,date
Indianapolis,6,2018,oval,1,3,12,Will Power,Verizon   (Roger Penske),D/C/F,200,,running,59,108,1,,,,,,,,,,,,,5/27/2018
Indianapolis,6,2018,oval,2,1,20,Ed Carpenter,Fuzzy's Vodka   (Ed Carpenter Racing),D/C/F,200,,running,65,92,1,,,,,,,,,,,,,5/27/2018
Indianapolis,6,2018,oval,3,9,9,Scott Dixon,PNC Bank / NTT Data   (Chip Ganassi),D/H/F,200,,running,0,71,0,,,,,,,,,,,,,5/27/2018
Indianapolis,6,2018,oval,4,32,27,Alexander Rossi,NAPA Auto Parts   (Andretti Autosport),D/H/F,200,,running,1,65,1,,,,,,,,,,,,,5/27/2018
Indianapolis,6,2018,oval,5,14,28,Ryan Hunter-Reay,DHL   (Andretti Autosport),D/H/F,200,,running,1,61,1,,,,,,,,,,,,,5/27/2018
Indianapolis,6,2018,oval,6,2,22,Simon Pagenaud,Menards / Verizon   (Roger Penske),D/C/F,200,,running,1,65,1,,,,,,,,,,,,,5/27/2018
Indianapolis,6,2018,oval,7,21,29,Carlos Munoz,Ruoff Home Mortgage   (Andretti Autosport),D/H/F,200,,running,4,53,1,,,,,,,,,,,,,5/27/2018
Indianapolis,6,2018,oval,8,4,1,Josef Newgarden,Verizon   (Roger Penske),D/C/F,200,,running,3,55,1,,,,,,,,,,,,,5/27/2018
Indianapolis,6,2018,oval,9,18,6,Robert Wickens,Lucas Oil   (Schmidt Peterson Motorsports),D/H/F,200,,running,2,45,1,,,,,,,,,,,,,5/27/2018
Indianapolis,6,2018,oval,10,30,15,Graham Rahal,United Rentals / Mi-Jack   (Rahal Letterman Lanigan Racing),D/H/F,200,,running,12,41,1,,,,,,,,,,,,,5/27/2018
Indianapolis,6,2018,oval,11,27,66,J.R. Hildebrand,Salesforce / Mecum Auctions   (Dreyer & Reinbold Racing),D/C/F,200,,running,0,38,0,,,,,,,,,,,,,5/27/2018
Indianapolis,6,2018,oval,12,12,98,Marco Andretti,U.S. Concrete / Curb   (AHA with Curb-Agajanian),D/H/F,200,,running,0,36,0,,,,,,,,,,,,,5/27/2018
Indianapolis,6,2018,oval,13,11,4,Matheus Leist,ABC Supply Co.   (A.J. Foyt),D/C/F,200,,running,0,34,0,,,,,,,,,,,,,5/27/2018
Indianapolis,6,2018,oval,14,22,88,Gabby Chaves,Harding Group   (Harding Racing),D/C/F,200,,running,0,32,0,,,,,,,,,,,,,5/27/2018
Indianapolis,6,2018,oval,15,23,25,Stefan Wilson,#Driven2SaveLives   (Andretti Autosport),D/H/F,200,,running,3,31,1,,,,,,,,,,,,,5/27/2018
Indianapolis,6,2018,oval,16,31,60,Jack Harvey,AutoNation / SiriusXM   (Michael Shank with SPM),D/H/F,200,,running,0,28,0,,,,,,,,,,,,,5/27/2018
