,driver,totalPoints,chamPos,season
0,Alex Palou,476.0,4.0,7
1,Alexander Rossi,364.0,9.0,7
2,Christian Lundgaard,28.0,33.0,7
3,Colton Herta,351.0,10.0,7
4,Conor Daly,277.0,14.0,7
5,Dalton Kellett,196.0,22.0,7
6,Ed Carpenter,111.0,26.0,7
7,Ed Jones,213.0,20.0,7
8,Felix Rosenqvist,192.0,23.0,7
9,Graham Rahal,367.0,8.0,7
10,Helio Castroneves,224.0,19.0,7
11,Jack Harvey,232.0,18.0,7
12,James Hinchcliffe,274.0,15.0,7
13,Jimmie Johnson,85.0,28.0,7
14,Josef Newgarden,477.0,3.0,7
15,Marcus Ericsson,474.0,5.0,7
16,Max Chilton,134.0,25.0,7
17,Patricio O'Ward,484.0,2.0,7
18,Pietro Fittipaldi,42.0,31.0,7
19,R.C. Enerson,10.0,37.0,7
20,Rinus VeeKay,437.0,6.0,7
21,Romain Grosjean,247.0,17.0,7
22,Ryan Hunter-Reay,271.0,16.0,7
23,Scott Dixon,493.0,1.0,7
24,Scott McLaughlin,316.0,11.0,7
25,Sebastien Bourdais,210.0,21.0,7
26,Simon Pagenaud,403.0,7.0,7
27,Takuma Sato,308.0,12.0,7
28,Tony Kanaan,99.0,27.0,7
29,Will Power,305.0,13.0,7
30,J.R. Hildebrand,30.0,32.0,7
31,Charlie Kimball,8.0,41.0,7
32,Marco Andretti,22.0,35.0,7
33,Juan Pablo Montoya,53.0,29.0,7
34,Simona de Silvestro,10.0,38.0,7
35,Santino Ferrucci,146.0,24.0,7
36,Oliver Askew,24.0,34.0,7
37,Kevin Magnussen,7.0,42.0,7
38,Cody Ware,21.0,36.0,7
39,Ryan Norman,10.0,39.0,7
40,Stefan Wilson,10.0,40.0,7
41,Sage Karam,53.0,30.0,7
0,Alex Palou,522.0,1.0,8
1,Alexander Rossi,290.0,14.0,8
2,Christian Lundgaard,30.0,32.0,8
3,Colton Herta,427.0,4.0,8
4,Conor Daly,263.0,16.0,8
5,Dalton Kellett,193.0,23.0,8
6,Ed Carpenter,127.0,27.0,8
7,Ed Jones,221.0,19.0,8
8,Felix Rosenqvist,200.0,22.0,8
9,Graham Rahal,420.0,6.0,8
10,Helio Castroneves,204.0,21.0,8
11,Jack Harvey,229.0,18.0,8
12,James Hinchcliffe,266.0,15.0,8
13,Jimmie Johnson,121.0,28.0,8
14,Josef Newgarden,422.0,5.0,8
15,Marcus Ericsson,405.0,8.0,8
16,Max Chilton,143.0,25.0,8
17,Patricio O'Ward,469.0,2.0,8
18,Pietro Fittipaldi,51.0,31.0,8
19,R.C. Enerson,5.0,42.0,8
20,Rinus VeeKay,379.0,9.0,8
21,Romain Grosjean,260.0,17.0,8
22,Ryan Hunter-Reay,326.0,10.0,8
23,Scott Dixon,438.0,3.0,8
24,Scott McLaughlin,300.0,13.0,8
25,Sebastien Bourdais,218.0,20.0,8
26,Simon Pagenaud,416.0,7.0,8
27,Takuma Sato,309.0,12.0,8
28,Tony Kanaan,129.0,26.0,8
29,Will Power,317.0,11.0,8
30,J.R. Hildebrand,30.0,33.0,8
31,Charlie Kimball,8.0,40.0,8
32,Marco Andretti,22.0,35.0,8
33,Juan Pablo Montoya,53.0,29.0,8
34,Simona de Silvestro,10.0,37.0,8
35,Santino Ferrucci,146.0,24.0,8
36,Oliver Askew,24.0,34.0,8
37,Kevin Magnussen,7.0,41.0,8
38,Cody Ware,21.0,36.0,8
39,Ryan Norman,10.0,38.0,8
40,Stefan Wilson,10.0,39.0,8
41,Sage Karam,53.0,30.0,8
0,Alex Palou,495.0,3.0,9
1,Alexander Rossi,307.0,12.0,9
2,Christian Lundgaard,5.0,41.0,9
3,Colton Herta,392.0,6.0,9
4,Conor Daly,221.0,20.0,9
5,Dalton Kellett,150.0,23.0,9
6,Ed Carpenter,119.0,26.0,9
7,Ed Jones,226.0,19.0,9
8,Felix Rosenqvist,208.0,22.0,9
9,Graham Rahal,376.0,8.0,9
10,Helio Castroneves,236.0,18.0,9
11,Jack Harvey,238.0,17.0,9
12,James Hinchcliffe,280.0,16.0,9
13,Jimmie Johnson,129.0,25.0,9
14,Josef Newgarden,476.0,4.0,9
15,Marcus Ericsson,428.0,5.0,9
16,Max Chilton,118.0,27.0,9
17,Patricio O'Ward,514.0,1.0,9
18,Pietro Fittipaldi,45.0,31.0,9
19,R.C. Enerson,5.0,42.0,9
20,Rinus VeeKay,328.0,11.0,9
21,Romain Grosjean,219.0,21.0,9
22,Ryan Hunter-Reay,281.0,14.0,9
23,Scott Dixon,498.0,2.0,9
24,Scott McLaughlin,281.0,15.0,9
25,Sebastien Bourdais,290.0,13.0,9
26,Simon Pagenaud,391.0,7.0,9
27,Takuma Sato,369.0,10.0,9
28,Tony Kanaan,105.0,28.0,9
29,Will Power,370.0,9.0,9
30,J.R. Hildebrand,30.0,32.0,9
31,Charlie Kimball,8.0,39.0,9
32,Marco Andretti,22.0,34.0,9
33,Juan Pablo Montoya,53.0,29.0,9
34,Simona de Silvestro,10.0,36.0,9
35,Santino Ferrucci,146.0,24.0,9
36,Oliver Askew,24.0,33.0,9
37,Kevin Magnussen,7.0,40.0,9
38,Cody Ware,21.0,35.0,9
39,Ryan Norman,10.0,37.0,9
40,Stefan Wilson,10.0,38.0,9
41,Sage Karam,53.0,30.0,9
0,Alex Palou,509.0,2.0,10
1,Alexander Rossi,285.0,13.0,10
2,Christian Lundgaard,11.0,36.0,10
3,Colton Herta,367.0,9.0,10
4,Conor Daly,263.0,16.0,10
5,Dalton Kellett,153.0,23.0,10
6,Ed Carpenter,117.0,27.0,10
7,Ed Jones,198.0,22.0,10
8,Felix Rosenqvist,220.0,21.0,10
9,Graham Rahal,434.0,6.0,10
10,Helio Castroneves,232.0,18.0,10
11,Jack Harvey,250.0,17.0,10
12,James Hinchcliffe,267.0,14.0,10
13,Jimmie Johnson,113.0,28.0,10
14,Josef Newgarden,451.0,5.0,10
15,Marcus Ericsson,461.0,4.0,10
16,Max Chilton,152.0,24.0,10
17,Patricio O'Ward,484.0,3.0,10
18,Pietro Fittipaldi,42.0,31.0,10
19,R.C. Enerson,5.0,42.0,10
20,Rinus VeeKay,397.0,7.0,10
21,Romain Grosjean,265.0,15.0,10
22,Ryan Hunter-Reay,232.0,19.0,10
23,Scott Dixon,517.0,1.0,10
24,Scott McLaughlin,296.0,12.0,10
25,Sebastien Bourdais,223.0,20.0,10
26,Simon Pagenaud,370.0,8.0,10
27,Takuma Sato,356.0,10.0,10
28,Tony Kanaan,129.0,26.0,10
29,Will Power,301.0,11.0,10
30,J.R. Hildebrand,30.0,32.0,10
31,Charlie Kimball,8.0,40.0,10
32,Marco Andretti,22.0,34.0,10
33,Juan Pablo Montoya,53.0,29.0,10
34,Simona de Silvestro,10.0,37.0,10
35,Santino Ferrucci,146.0,25.0,10
36,Oliver Askew,24.0,33.0,10
37,Kevin Magnussen,7.0,41.0,10
38,Cody Ware,21.0,35.0,10
39,Ryan Norman,10.0,38.0,10
40,Stefan Wilson,10.0,39.0,10
41,Sage Karam,53.0,30.0,10
0,Alex Palou,480.0,2.0,11
1,Alexander Rossi,339.0,10.0,11
2,Christian Lundgaard,6.0,42.0,11
3,Colton Herta,348.0,9.0,11
4,Conor Daly,241.0,17.0,11
5,Dalton Kellett,188.0,23.0,11
6,Ed Carpenter,131.0,26.0,11
7,Ed Jones,250.0,16.0,11
8,Felix Rosenqvist,210.0,22.0,11
9,Graham Rahal,439.0,6.0,11
10,Helio Castroneves,239.0,18.0,11
11,Jack Harvey,286.0,13.0,11
12,James Hinchcliffe,232.0,20.0,11
13,Jimmie Johnson,106.0,27.0,11
14,Josef Newgarden,493.0,1.0,11
15,Marcus Ericsson,474.0,3.0,11
16,Max Chilton,148.0,24.0,11
17,Patricio O'Ward,458.0,5.0,11
18,Pietro Fittipaldi,45.0,31.0,11
19,R.C. Enerson,15.0,36.0,11
20,Rinus VeeKay,368.0,8.0,11
21,Romain Grosjean,229.0,21.0,11
22,Ryan Hunter-Reay,233.0,19.0,11
23,Scott Dixon,471.0,4.0,11
24,Scott McLaughlin,273.0,14.0,11
25,Sebastien Bourdais,263.0,15.0,11
26,Simon Pagenaud,435.0,7.0,11
27,Takuma Sato,325.0,11.0,11
28,Tony Kanaan,88.0,28.0,11
29,Will Power,287.0,12.0,11
30,J.R. Hildebrand,30.0,32.0,11
31,Charlie Kimball,8.0,40.0,11
32,Marco Andretti,22.0,34.0,11
33,Juan Pablo Montoya,53.0,29.0,11
34,Simona de Silvestro,10.0,37.0,11
35,Santino Ferrucci,146.0,25.0,11
36,Oliver Askew,24.0,33.0,11
37,Kevin Magnussen,7.0,41.0,11
38,Cody Ware,21.0,35.0,11
39,Ryan Norman,10.0,38.0,11
40,Stefan Wilson,10.0,39.0,11
41,Sage Karam,53.0,30.0,11
0,Alex Palou,507.0,2.0,12
1,Alexander Rossi,382.0,9.0,12
2,Christian Lundgaard,6.0,42.0,12
3,Colton Herta,389.0,8.0,12
4,Conor Daly,236.0,17.0,12
5,Dalton Kellett,185.0,21.0,12
6,Ed Carpenter,118.0,27.0,12
7,Ed Jones,206.0,20.0,12
8,Felix Rosenqvist,164.0,23.0,12
9,Graham Rahal,408.0,7.0,12
10,Helio Castroneves,171.0,22.0,12
11,Jack Harvey,277.0,13.0,12
12,James Hinchcliffe,233.0,18.0,12
13,Jimmie Johnson,151.0,24.0,12
14,Josef Newgarden,436.0,5.0,12
15,Marcus Ericsson,496.0,3.0,12
16,Max Chilton,148.0,25.0,12
17,Patricio O'Ward,470.0,4.0,12
18,Pietro Fittipaldi,64.0,29.0,12
19,R.C. Enerson,18.0,36.0,12
20,Rinus VeeKay,318.0,11.0,12
21,Romain Grosjean,246.0,16.0,12
22,Ryan Hunter-Reay,225.0,19.0,12
23,Scott Dixon,525.0,1.0,12
24,Scott McLaughlin,277.0,14.0,12
25,Sebastien Bourdais,268.0,15.0,12
26,Simon Pagenaud,432.0,6.0,12
27,Takuma Sato,313.0,12.0,12
28,Tony Kanaan,90.0,28.0,12
29,Will Power,341.0,10.0,12
30,J.R. Hildebrand,30.0,32.0,12
31,Charlie Kimball,8.0,40.0,12
32,Marco Andretti,22.0,34.0,12
33,Juan Pablo Montoya,53.0,30.0,12
34,Simona de Silvestro,10.0,37.0,12
35,Santino Ferrucci,146.0,26.0,12
36,Oliver Askew,24.0,33.0,12
37,Kevin Magnussen,7.0,41.0,12
38,Cody Ware,21.0,35.0,12
39,Ryan Norman,10.0,38.0,12
40,Stefan Wilson,10.0,39.0,12
41,Sage Karam,53.0,31.0,12
0,Alex Palou,513.0,2.0,13
1,Alexander Rossi,296.0,13.0,13
2,Christian Lundgaard,13.0,36.0,13
3,Colton Herta,329.0,10.0,13
4,Conor Daly,232.0,18.0,13
5,Dalton Kellett,157.0,24.0,13
6,Ed Carpenter,107.0,26.0,13
7,Ed Jones,228.0,20.0,13
8,Felix Rosenqvist,181.0,22.0,13
9,Graham Rahal,411.0,6.0,13
10,Helio Castroneves,209.0,21.0,13
11,Jack Harvey,304.0,12.0,13
12,James Hinchcliffe,233.0,17.0,13
13,Jimmie Johnson,105.0,27.0,13
14,Josef Newgarden,487.0,5.0,13
15,Marcus Ericsson,493.0,4.0,13
16,Max Chilton,162.0,23.0,13
17,Patricio O'Ward,507.0,3.0,13
18,Pietro Fittipaldi,58.0,29.0,13
19,R.C. Enerson,8.0,40.0,13
20,Rinus VeeKay,337.0,9.0,13
21,Romain Grosjean,234.0,16.0,13
22,Ryan Hunter-Reay,269.0,15.0,13
23,Scott Dixon,552.0,1.0,13
24,Scott McLaughlin,325.0,11.0,13
25,Sebastien Bourdais,231.0,19.0,13
26,Simon Pagenaud,388.0,7.0,13
27,Takuma Sato,352.0,8.0,13
28,Tony Kanaan,98.0,28.0,13
29,Will Power,281.0,14.0,13
30,J.R. Hildebrand,30.0,32.0,13
31,Charlie Kimball,8.0,41.0,13
32,Marco Andretti,22.0,34.0,13
33,Juan Pablo Montoya,53.0,30.0,13
34,Simona de Silvestro,10.0,37.0,13
35,Santino Ferrucci,146.0,25.0,13
36,Oliver Askew,24.0,33.0,13
37,Kevin Magnussen,7.0,42.0,13
38,Cody Ware,21.0,35.0,13
39,Ryan Norman,10.0,38.0,13
40,Stefan Wilson,10.0,39.0,13
41,Sage Karam,53.0,31.0,13
0,Alex Palou,572.0,1.0,14
1,Alexander Rossi,351.0,9.0,14
2,Christian Lundgaard,6.0,42.0,14
3,Colton Herta,355.0,8.0,14
4,Conor Daly,256.0,18.0,14
5,Dalton Kellett,159.0,23.0,14
6,Ed Carpenter,108.0,26.0,14
7,Ed Jones,258.0,17.0,14
8,Felix Rosenqvist,173.0,22.0,14
9,Graham Rahal,360.0,7.0,14
10,Helio Castroneves,199.0,21.0,14
11,Jack Harvey,260.0,16.0,14
12,James Hinchcliffe,269.0,15.0,14
13,Jimmie Johnson,100.0,27.0,14
14,Josef Newgarden,470.0,3.0,14
15,Marcus Ericsson,446.0,5.0,14
16,Max Chilton,143.0,25.0,14
17,Patricio O'Ward,453.0,4.0,14
18,Pietro Fittipaldi,50.0,31.0,14
19,R.C. Enerson,16.0,36.0,14
20,Rinus VeeKay,319.0,11.0,14
21,Romain Grosjean,255.0,19.0,14
22,Ryan Hunter-Reay,272.0,14.0,14
23,Scott Dixon,543.0,2.0,14
24,Scott McLaughlin,306.0,13.0,14
25,Sebastien Bourdais,249.0,20.0,14
26,Simon Pagenaud,403.0,6.0,14
27,Takuma Sato,345.0,10.0,14
28,Tony Kanaan,86.0,28.0,14
29,Will Power,318.0,12.0,14
30,J.R. Hildebrand,30.0,32.0,14
31,Charlie Kimball,8.0,40.0,14
32,Marco Andretti,22.0,34.0,14
33,Juan Pablo Montoya,53.0,29.0,14
34,Simona de Silvestro,10.0,37.0,14
35,Santino Ferrucci,146.0,24.0,14
36,Oliver Askew,24.0,33.0,14
37,Kevin Magnussen,7.0,41.0,14
38,Cody Ware,21.0,35.0,14
39,Ryan Norman,10.0,38.0,14
40,Stefan Wilson,10.0,39.0,14
41,Sage Karam,53.0,30.0,14
0,Alex Palou,554.0,1.0,15
1,Alexander Rossi,332.0,10.0,15
2,Christian Lundgaard,19.0,36.0,15
3,Colton Herta,366.0,8.0,15
4,Conor Daly,242.0,16.0,15
5,Dalton Kellett,132.0,26.0,15
6,Ed Carpenter,149.0,24.0,15
7,Ed Jones,187.0,23.0,15
8,Felix Rosenqvist,239.0,17.0,15
9,Graham Rahal,416.0,6.0,15
10,Helio Castroneves,233.0,18.0,15
11,Jack Harvey,286.0,13.0,15
12,James Hinchcliffe,217.0,21.0,15
13,Jimmie Johnson,91.0,27.0,15
14,Josef Newgarden,527.0,2.0,15
15,Marcus Ericsson,427.0,5.0,15
16,Max Chilton,213.0,22.0,15
17,Patricio O'Ward,507.0,3.0,15
18,Pietro Fittipaldi,47.0,31.0,15
19,R.C. Enerson,9.0,40.0,15
20,Rinus VeeKay,320.0,11.0,15
21,Romain Grosjean,228.0,19.0,15
22,Ryan Hunter-Reay,268.0,15.0,15
23,Scott Dixon,474.0,4.0,15
24,Scott McLaughlin,275.0,14.0,15
25,Sebastien Bourdais,220.0,20.0,15
26,Simon Pagenaud,393.0,7.0,15
27,Takuma Sato,352.0,9.0,15
28,Tony Kanaan,87.0,28.0,15
29,Will Power,290.0,12.0,15
30,J.R. Hildebrand,30.0,32.0,15
31,Charlie Kimball,8.0,41.0,15
32,Marco Andretti,22.0,34.0,15
33,Juan Pablo Montoya,53.0,29.0,15
34,Simona de Silvestro,10.0,37.0,15
35,Santino Ferrucci,146.0,25.0,15
36,Oliver Askew,24.0,33.0,15
37,Kevin Magnussen,7.0,42.0,15
38,Cody Ware,21.0,35.0,15
39,Ryan Norman,10.0,38.0,15
40,Stefan Wilson,10.0,39.0,15
41,Sage Karam,53.0,30.0,15
0,Alex Palou,503.0,2.0,16
1,Alexander Rossi,344.0,9.0,16
2,Christian Lundgaard,18.0,36.0,16
3,Colton Herta,376.0,8.0,16
4,Conor Daly,210.0,19.0,16
5,Dalton Kellett,169.0,23.0,16
6,Ed Carpenter,129.0,26.0,16
7,Ed Jones,189.0,20.0,16
8,Felix Rosenqvist,179.0,22.0,16
9,Graham Rahal,387.0,7.0,16
10,Helio Castroneves,189.0,21.0,16
11,Jack Harvey,230.0,18.0,16
12,James Hinchcliffe,280.0,15.0,16
13,Jimmie Johnson,166.0,24.0,16
14,Josef Newgarden,452.0,5.0,16
15,Marcus Ericsson,454.0,4.0,16
16,Max Chilton,125.0,27.0,16
17,Patricio O'Ward,490.0,3.0,16
18,Pietro Fittipaldi,56.0,29.0,16
19,R.C. Enerson,16.0,37.0,16
20,Rinus VeeKay,344.0,10.0,16
21,Romain Grosjean,280.0,16.0,16
22,Ryan Hunter-Reay,306.0,13.0,16
23,Scott Dixon,505.0,1.0,16
24,Scott McLaughlin,296.0,14.0,16
25,Sebastien Bourdais,243.0,17.0,16
26,Simon Pagenaud,421.0,6.0,16
27,Takuma Sato,322.0,11.0,16
28,Tony Kanaan,107.0,28.0,16
29,Will Power,314.0,12.0,16
30,J.R. Hildebrand,30.0,32.0,16
31,Charlie Kimball,8.0,41.0,16
32,Marco Andretti,22.0,34.0,16
