,driver,totalPoints,chamPos,season
17,Pietro Fittipaldi,42.0,28.0,3
18,Rinus VeeKay,483.0,3.0,3
19,Romain Grosjean,239.0,17.0,3
20,Ryan Hunter-Reay,278.0,13.0,3
21,Scott Dixon,555.0,1.0,3
22,Scott McLaughlin,346.0,10.0,3
23,Sebastien Bourdais,197.0,23.0,3
24,Simon Pagenaud,553.0,2.0,3
25,Takuma Sato,370.0,8.0,3
26,Tony Kanaan,89.0,27.0,3
27,Will Power,276.0,14.0,3
0,Alex Palou,402.0,7.0,4
1,Alexander Rossi,288.0,12.0,4
2,Colton Herta,319.0,11.0,4
3,Conor Daly,183.0,23.0,4
4,Dalton Kellett,228.0,19.0,4
5,Ed Carpenter,119.0,25.0,4
6,Ed Jones,199.0,21.0,4
7,Felix Rosenqvist,190.0,22.0,4
8,Graham Rahal,470.0,5.0,4
9,Helio Castroneves,234.0,18.0,4
10,Jack Harvey,236.0,17.0,4
11,James Hinchcliffe,254.0,15.0,4
12,Jimmie Johnson,139.0,24.0,4
13,Josef Newgarden,495.0,3.0,4
14,Marcus Ericsson,399.0,8.0,4
15,Max Chilton,99.0,26.0,4
16,Patricio O'Ward,478.0,4.0,4
17,Pietro Fittipaldi,41.0,28.0,4
18,Rinus VeeKay,432.0,6.0,4
19,Romain Grosjean,210.0,20.0,4
20,Ryan Hunter-Reay,275.0,14.0,4
21,Scott Dixon,565.0,1.0,4
22,Scott McLaughlin,365.0,10.0,4
23,Sebastien Bourdais,254.0,16.0,4
24,Simon Pagenaud,531.0,2.0,4
25,Takuma Sato,366.0,9.0,4
26,Tony Kanaan,91.0,27.0,4
27,Will Power,283.0,13.0,4
0,Alex Palou,429.0,6.0,5
1,Alexander Rossi,272.0,14.0,5
2,Colton Herta,392.0,8.0,5
3,Conor Daly,205.0,21.0,5
4,Dalton Kellett,150.0,23.0,5
5,Ed Carpenter,109.0,26.0,5
6,Ed Jones,237.0,17.0,5
7,Felix Rosenqvist,238.0,16.0,5
8,Graham Rahal,453.0,4.0,5
9,Helio Castroneves,217.0,20.0,5
10,Jack Harvey,232.0,18.0,5
11,James Hinchcliffe,250.0,15.0,5
12,Jimmie Johnson,110.0,25.0,5
13,Josef Newgarden,445.0,5.0,5
14,Marcus Ericsson,389.0,9.0,5
15,Max Chilton,140.0,24.0,5
16,Patricio O'Ward,490.0,3.0,5
17,Pietro Fittipaldi,41.0,28.0,5
18,Rinus VeeKay,394.0,7.0,5
19,Romain Grosjean,203.0,22.0,5
20,Ryan Hunter-Reay,307.0,12.0,5
21,Scott Dixon,558.0,1.0,5
22,Scott McLaughlin,295.0,13.0,5
23,Sebastien Bourdais,232.0,19.0,5
24,Simon Pagenaud,511.0,2.0,5
25,Takuma Sato,360.0,11.0,5
26,Tony Kanaan,101.0,27.0,5
27,Will Power,385.0,10.0,5
0,Alex Palou,453.0,5.0,6
1,Alexander Rossi,346.0,10.0,6
2,Colton Herta,331.0,11.0,6
3,Conor Daly,180.0,22.0,6
4,Dalton Kellett,208.0,19.0,6
5,Ed Carpenter,112.0,25.0,6
6,Ed Jones,266.0,16.0,6
7,Felix Rosenqvist,200.0,21.0,6
8,Graham Rahal,408.0,6.0,6
9,Helio Castroneves,175.0,23.0,6
10,Jack Harvey,317.0,14.0,6
11,James Hinchcliffe,227.0,18.0,6
12,Jimmie Johnson,86.0,27.0,6
13,Josef Newgarden,463.0,3.0,6
14,Marcus Ericsson,400.0,8.0,6
15,Max Chilton,133.0,24.0,6
16,Patricio O'Ward,459.0,4.0,6
17,Pietro Fittipaldi,50.0,28.0,6
18,Rinus VeeKay,402.0,7.0,6
19,Romain Grosjean,207.0,20.0,6
20,Ryan Hunter-Reay,285.0,15.0,6
21,Scott Dixon,483.0,2.0,6
22,Scott McLaughlin,260.0,17.0,6
23,Sebastien Bourdais,328.0,12.0,6
24,Simon Pagenaud,535.0,1.0,6
25,Takuma Sato,325.0,13.0,6
26,Tony Kanaan,109.0,26.0,6
27,Will Power,397.0,9.0,6
0,Alex Palou,390.0,7.0,7
1,Alexander Rossi,376.0,8.0,7
2,Colton Herta,337.0,10.0,7
3,Conor Daly,208.0,19.0,7
4,Dalton Kellett,144.0,24.0,7
5,Ed Carpenter,107.0,26.0,7
6,Ed Jones,306.0,14.0,7
7,Felix Rosenqvist,202.0,21.0,7
8,Graham Rahal,402.0,6.0,7
9,Helio Castroneves,176.0,22.0,7
10,Jack Harvey,254.0,17.0,7
11,James Hinchcliffe,204.0,20.0,7
12,Jimmie Johnson,110.0,25.0,7
13,Josef Newgarden,474.0,5.0,7
14,Marcus Ericsson,358.0,9.0,7
15,Max Chilton,163.0,23.0,7
16,Patricio O'Ward,497.0,2.0,7
17,Pietro Fittipaldi,41.0,28.0,7
18,Rinus VeeKay,478.0,4.0,7
19,Romain Grosjean,209.0,18.0,7
20,Ryan Hunter-Reay,308.0,13.0,7
21,Scott Dixon,570.0,1.0,7
22,Scott McLaughlin,301.0,16.0,7
23,Sebastien Bourdais,302.0,15.0,7
24,Simon Pagenaud,488.0,3.0,7
25,Takuma Sato,329.0,11.0,7
26,Tony Kanaan,90.0,27.0,7
27,Will Power,321.0,12.0,7
0,Alex Palou,440.0,4.0,8
1,Alexander Rossi,367.0,9.0,8
2,Colton Herta,285.0,14.0,8
3,Conor Daly,181.0,20.0,8
4,Dalton Kellett,150.0,24.0,8
5,Ed Carpenter,109.0,26.0,8
6,Ed Jones,178.0,22.0,8
7,Felix Rosenqvist,244.0,17.0,8
8,Graham Rahal,407.0,7.0,8
9,Helio Castroneves,180.0,21.0,8
10,Jack Harvey,281.0,15.0,8
11,James Hinchcliffe,189.0,19.0,8
12,Jimmie Johnson,160.0,23.0,8
13,Josef Newgarden,518.0,2.0,8
14,Marcus Ericsson,366.0,10.0,8
15,Max Chilton,129.0,25.0,8
16,Patricio O'Ward,431.0,5.0,8
17,Pietro Fittipaldi,49.0,28.0,8
18,Rinus VeeKay,428.0,6.0,8
19,Romain Grosjean,212.0,18.0,8
20,Ryan Hunter-Reay,344.0,12.0,8
21,Scott Dixon,515.0,3.0,8
22,Scott McLaughlin,279.0,16.0,8
23,Sebastien Bourdais,331.0,13.0,8
24,Simon Pagenaud,541.0,1.0,8
25,Takuma Sato,359.0,11.0,8
26,Tony Kanaan,90.0,27.0,8
27,Will Power,382.0,8.0,8
0,Alex Palou,417.0,8.0,9
1,Alexander Rossi,327.0,11.0,9
2,Colton Herta,390.0,9.0,9
3,Conor Daly,249.0,17.0,9
4,Dalton Kellett,148.0,24.0,9
5,Ed Carpenter,108.0,27.0,9
6,Ed Jones,208.0,21.0,9
7,Felix Rosenqvist,236.0,19.0,9
8,Graham Rahal,478.0,3.0,9
9,Helio Castroneves,258.0,15.0,9
10,Jack Harvey,252.0,16.0,9
11,James Hinchcliffe,283.0,13.0,9
12,Jimmie Johnson,123.0,25.0,9
13,Josef Newgarden,488.0,2.0,9
14,Marcus Ericsson,439.0,6.0,9
15,Max Chilton,161.0,23.0,9
16,Patricio O'Ward,449.0,5.0,9
17,Pietro Fittipaldi,45.0,28.0,9
18,Rinus VeeKay,420.0,7.0,9
19,Romain Grosjean,186.0,22.0,9
20,Ryan Hunter-Reay,215.0,20.0,9
21,Scott Dixon,540.0,1.0,9
22,Scott McLaughlin,241.0,18.0,9
23,Sebastien Bourdais,264.0,14.0,9
24,Simon Pagenaud,451.0,4.0,9
25,Takuma Sato,341.0,10.0,9
26,Tony Kanaan,111.0,26.0,9
27,Will Power,317.0,12.0,9
0,Alex Palou,423.0,6.0,10
1,Alexander Rossi,281.0,14.0,10
2,Colton Herta,385.0,8.0,10
3,Conor Daly,188.0,20.0,10
4,Dalton Kellett,160.0,23.0,10
5,Ed Carpenter,129.0,25.0,10
6,Ed Jones,231.0,19.0,10
7,Felix Rosenqvist,278.0,15.0,10
8,Graham Rahal,403.0,7.0,10
9,Helio Castroneves,176.0,21.0,10
10,Jack Harvey,242.0,18.0,10
11,James Hinchcliffe,244.0,17.0,10
12,Jimmie Johnson,148.0,24.0,10
13,Josef Newgarden,452.0,4.0,10
14,Marcus Ericsson,330.0,11.0,10
15,Max Chilton,112.0,26.0,10
16,Patricio O'Ward,479.0,3.0,10
17,Pietro Fittipaldi,46.0,28.0,10
18,Rinus VeeKay,425.0,5.0,10
19,Romain Grosjean,163.0,22.0,10
20,Ryan Hunter-Reay,323.0,12.0,10
21,Scott Dixon,603.0,1.0,10
22,Scott McLaughlin,368.0,10.0,10
23,Sebastien Bourdais,269.0,16.0,10
24,Simon Pagenaud,516.0,2.0,10
25,Takuma Sato,369.0,9.0,10
26,Tony Kanaan,93.0,27.0,10
27,Will Power,309.0,13.0,10
0,Alex Palou,461.0,5.0,11
1,Alexander Rossi,365.0,9.0,11
2,Colton Herta,351.0,11.0,11
3,Conor Daly,267.0,16.0,11
4,Dalton Kellett,166.0,23.0,11
5,Ed Carpenter,131.0,24.0,11
6,Ed Jones,209.0,18.0,11
7,Felix Rosenqvist,192.0,21.0,11
8,Graham Rahal,403.0,7.0,11
9,Helio Castroneves,208.0,19.0,11
10,Jack Harvey,284.0,14.0,11
11,James Hinchcliffe,173.0,22.0,11
12,Jimmie Johnson,130.0,25.0,11
13,Josef Newgarden,511.0,2.0,11
14,Marcus Ericsson,397.0,8.0,11
15,Max Chilton,122.0,26.0,11
16,Patricio O'Ward,489.0,3.0,11
17,Pietro Fittipaldi,44.0,28.0,11
18,Rinus VeeKay,416.0,6.0,11
19,Romain Grosjean,200.0,20.0,11
20,Ryan Hunter-Reay,276.0,15.0,11
21,Scott Dixon,583.0,1.0,11
22,Scott McLaughlin,289.0,13.0,11
23,Sebastien Bourdais,257.0,17.0,11
24,Simon Pagenaud,470.0,4.0,11
25,Takuma Sato,300.0,12.0,11
26,Tony Kanaan,97.0,27.0,11
27,Will Power,354.0,10.0,11
0,Alex Palou,416.0,6.0,12
1,Alexander Rossi,348.0,10.0,12
2,Colton Herta,314.0,12.0,12
3,Conor Daly,171.0,21.0,12
4,Dalton Kellett,163.0,24.0,12
5,Ed Carpenter,115.0,26.0,12
6,Ed Jones,220.0,19.0,12
7,Felix Rosenqvist,272.0,15.0,12
8,Graham Rahal,403.0,8.0,12
9,Helio Castroneves,168.0,23.0,12
10,Jack Harvey,230.0,18.0,12
11,James Hinchcliffe,233.0,17.0,12
12,Jimmie Johnson,171.0,22.0,12
13,Josef Newgarden,474.0,3.0,12
14,Marcus Ericsson,416.0,7.0,12
15,Max Chilton,119.0,25.0,12
16,Patricio O'Ward,462.0,5.0,12
17,Pietro Fittipaldi,62.0,28.0,12
18,Rinus VeeKay,471.0,4.0,12
19,Romain Grosjean,182.0,20.0,12
20,Ryan Hunter-Reay,342.0,11.0,12
21,Scott Dixon,576.0,1.0,12
22,Scott McLaughlin,263.0,16.0,12
23,Sebastien Bourdais,275.0,14.0,12
24,Simon Pagenaud,526.0,2.0,12
25,Takuma Sato,294.0,13.0,12
26,Tony Kanaan,105.0,27.0,12
27,Will Power,354.0,9.0,12
0,Alex Palou,429.0,7.0,13
1,Alexander Rossi,382.0,9.0,13
2,Colton Herta,274.0,15.0,13
3,Conor Daly,225.0,17.0,13
4,Dalton Kellett,144.0,24.0,13
5,Ed Carpenter,127.0,25.0,13
6,Ed Jones,235.0,16.0,13
7,Felix Rosenqvist,224.0,18.0,13
8,Graham Rahal,437.0,6.0,13
9,Helio Castroneves,209.0,20.0,13
10,Jack Harvey,286.0,14.0,13
11,James Hinchcliffe,203.0,22.0,13
12,Jimmie Johnson,112.0,26.0,13
13,Josef Newgarden,468.0,4.0,13
14,Marcus Ericsson,330.0,11.0,13
15,Max Chilton,150.0,23.0,13
16,Patricio O'Ward,490.0,3.0,13
17,Pietro Fittipaldi,48.0,28.0,13
18,Rinus VeeKay,439.0,5.0,13
19,Romain Grosjean,208.0,21.0,13
20,Ryan Hunter-Reay,212.0,19.0,13
21,Scott Dixon,583.0,1.0,13
22,Scott McLaughlin,335.0,10.0,13
23,Sebastien Bourdais,299.0,13.0,13
24,Simon Pagenaud,495.0,2.0,13
25,Takuma Sato,319.0,12.0,13
26,Tony Kanaan,92.0,27.0,13
27,Will Power,390.0,8.0,13
0,Alex Palou,377.0,10.0,14
1,Alexander Rossi,405.0,6.0,14
2,Colton Herta,389.0,9.0,14
3,Conor Daly,193.0,21.0,14
4,Dalton Kellett,180.0,22.0,14
5,Ed Carpenter,111.0,26.0,14
6,Ed Jones,201.0,20.0,14
7,Felix Rosenqvist,273.0,15.0,14
8,Graham Rahal,393.0,8.0,14
9,Helio Castroneves,168.0,23.0,14
10,Jack Harvey,263.0,16.0,14
11,James Hinchcliffe,230.0,18.0,14
12,Jimmie Johnson,152.0,24.0,14
13,Josef Newgarden,504.0,2.0,14
14,Marcus Ericsson,363.0,11.0,14
15,Max Chilton,125.0,25.0,14
16,Patricio O'Ward,488.0,3.0,14
17,Pietro Fittipaldi,44.0,28.0,14
18,Rinus VeeKay,424.0,5.0,14
19,Romain Grosjean,209.0,19.0,14
20,Ryan Hunter-Reay,332.0,12.0,14
21,Scott Dixon,534.0,1.0,14
22,Scott McLaughlin,301.0,13.0,14
23,Sebastien Bourdais,246.0,17.0,14
24,Simon Pagenaud,463.0,4.0,14
25,Takuma Sato,394.0,7.0,14
26,Tony Kanaan,93.0,27.0,14
27,Will Power,290.0,14.0,14
0,Alex Palou,396.0,7.0,15
1,Alexander Rossi,305.0,13.0,15
2,Colton Herta,359.0,9.0,15
3,Conor Daly,227.0,21.0,15
4,Dalton Kellett,145.0,23.0,15
5,Ed Carpenter,111.0,25.0,15
6,Ed Jones,191.0,22.0,15
7,Felix Rosenqvist,228.0,20.0,15
8,Graham Rahal,398.0,6.0,15
9,Helio Castroneves,241.0,18.0,15
10,Jack Harvey,338.0,10.0,15
11,James Hinchcliffe,301.0,14.0,15
12,Jimmie Johnson,123.0,24.0,15
13,Josef Newgarden,554.0,2.0,15
14,Marcus Ericsson,376.0,8.0,15
15,Max Chilton,109.0,26.0,15
16,Patricio O'Ward,419.0,5.0,15
17,Pietro Fittipaldi,43.0,28.0,15
18,Rinus VeeKay,420.0,4.0,15
19,Romain Grosjean,229.0,19.0,15
20,Ryan Hunter-Reay,291.0,15.0,15
21,Scott Dixon,499.0,3.0,15
22,Scott McLaughlin,312.0,12.0,15
23,Sebastien Bourdais,263.0,17.0,15
24,Simon Pagenaud,560.0,1.0,15
25,Takuma Sato,329.0,11.0,15
26,Tony Kanaan,89.0,27.0,15
27,Will Power,289.0,16.0,15
0,Alex Palou,456.0,4.0,16
1,Alexander Rossi,274.0,16.0,16
2,Colton Herta,355.0,10.0,16
3,Conor Daly,255.0,17.0,16
4,Dalton Kellett,169.0,23.0,16
5,Ed Carpenter,111.0,26.0,16
6,Ed Jones,295.0,13.0,16
7,Felix Rosenqvist,202.0,22.0,16
8,Graham Rahal,402.0,7.0,16
9,Helio Castroneves,203.0,21.0,16
10,Jack Harvey,243.0,19.0,16
11,James Hinchcliffe,276.0,15.0,16
12,Jimmie Johnson,225.0,20.0,16
13,Josef Newgarden,469.0,2.0,16
14,Marcus Ericsson,394.0,8.0,16
15,Max Chilton,113.0,25.0,16
16,Patricio O'Ward,457.0,3.0,16
17,Pietro Fittipaldi,56.0,28.0,16
18,Rinus VeeKay,387.0,9.0,16
19,Romain Grosjean,157.0,24.0,16
20,Ryan Hunter-Reay,296.0,12.0,16
21,Scott Dixon,566.0,1.0,16
22,Scott McLaughlin,286.0,14.0,16
23,Sebastien Bourdais,244.0,18.0,16
24,Simon Pagenaud,424.0,5.0,16
25,Takuma Sato,419.0,6.0,16
26,Tony Kanaan,103.0,27.0,16
27,Will Power,308.0,11.0,16
0,Alex Palou,427.0,5.0,17
1,Alexander Rossi,349.0,10.0,17
2,Colton Herta,392.0,9.0,17
3,Conor Daly,184.0,23.0,17
4,Dalton Kellett,205.0,19.0,17
5,Ed Carpenter,131.0,25.0,17
6,Ed Jones,196.0,22.0,17
7,Felix Rosenqvist,221.0,18.0,17
8,Graham Rahal,418.0,6.0,17
9,Helio Castroneves,201.0,21.0,17
10,Jack Harvey,320.0,12.0,17
11,James Hinchcliffe,226.0,17.0,17
12,Jimmie Johnson,126.0,26.0,17
13,Josef Newgarden,525.0,2.0,17
14,Marcus Ericsson,415.0,7.0,17
15,Max Chilton,138.0,24.0,17
16,Patricio O'Ward,455.0,4.0,17
17,Pietro Fittipaldi,41.0,28.0,17
18,Rinus VeeKay,397.0,8.0,17
19,Romain Grosjean,204.0,20.0,17
20,Ryan Hunter-Reay,236.0,16.0,17
21,Scott Dixon,572.0,1.0,17
22,Scott McLaughlin,281.0,14.0,17
23,Sebastien Bourdais,247.0,15.0,17
24,Simon Pagenaud,514.0,3.0,17
25,Takuma Sato,325.0,11.0,17
26,Tony Kanaan,87.0,27.0,17
27,Will Power,312.0,13.0,17
0,Alex Palou,449.0,5.0,18
1,Alexander Rossi,290.0,12.0,18
2,Colton Herta,330.0,9.0,18
3,Conor Daly,209.0,21.0,18
4,Dalton Kellett,194.0,22.0,18
5,Ed Carpenter,121.0,24.0,18
6,Ed Jones,239.0,19.0,18
7,Felix Rosenqvist,265.0,15.0,18
8,Graham Rahal,422.0,7.0,18
9,Helio Castroneves,193.0,23.0,18
10,Jack Harvey,254.0,16.0,18
11,James Hinchcliffe,210.0,20.0,18
12,Jimmie Johnson,119.0,25.0,18
13,Josef Newgarden,539.0,2.0,18
14,Marcus Ericsson,443.0,6.0,18
15,Max Chilton,106.0,26.0,18
16,Patricio O'Ward,497.0,3.0,18
17,Pietro Fittipaldi,42.0,28.0,18
18,Rinus VeeKay,400.0,8.0,18
19,Romain Grosjean,241.0,18.0,18
20,Ryan Hunter-Reay,278.0,13.0,18
21,Scott Dixon,566.0,1.0,18
22,Scott McLaughlin,314.0,10.0,18
23,Sebastien Bourdais,250.0,17.0,18
24,Simon Pagenaud,490.0,4.0,18
25,Takuma Sato,310.0,11.0,18
26,Tony Kanaan,98.0,27.0,18
27,Will Power,276.0,14.0,18
0,Alex Palou,440.0,5.0,19
1,Alexander Rossi,355.0,9.0,19
2,Colton Herta,314.0,13.0,19
3,Conor Daly,237.0,18.0,19
4,Dalton Kellett,139.0,24.0,19
5,Ed Carpenter,117.0,25.0,19
6,Ed Jones,227.0,20.0,19
7,Felix Rosenqvist,234.0,19.0,19
8,Graham Rahal,372.0,8.0,19
9,Helio Castroneves,175.0,22.0,19
10,Jack Harvey,244.0,17.0,19
11,James Hinchcliffe,316.0,12.0,19
12,Jimmie Johnson,164.0,23.0,19
13,Josef Newgarden,502.0,2.0,19
14,Marcus Ericsson,378.0,7.0,19
15,Max Chilton,117.0,26.0,19
16,Patricio O'Ward,427.0,6.0,19
17,Pietro Fittipaldi,47.0,28.0,19
18,Rinus VeeKay,480.0,3.0,19
19,Romain Grosjean,204.0,21.0,19
20,Ryan Hunter-Reay,314.0,14.0,19
21,Scott Dixon,559.0,1.0,19
22,Scott McLaughlin,319.0,11.0,19
23,Sebastien Bourdais,285.0,16.0,19
24,Simon Pagenaud,454.0,4.0,19
25,Takuma Sato,326.0,10.0,19
26,Tony Kanaan,93.0,27.0,19
27,Will Power,306.0,15.0,19
0,Alex Palou,399.0,7.0,20
1,Alexander Rossi,282.0,14.0,20
2,Colton Herta,386.0,9.0,20
3,Conor Daly,173.0,23.0,20
4,Dalton Kellett,217.0,19.0,20
5,Ed Carpenter,115.0,25.0,20
6,Ed Jones,250.0,15.0,20
7,Felix Rosenqvist,184.0,22.0,20
8,Graham Rahal,430.0,5.0,20
9,Helio Castroneves,209.0,20.0,20
10,Jack Harvey,285.0,13.0,20
11,James Hinchcliffe,250.0,16.0,20
12,Jimmie Johnson,115.0,26.0,20
13,Josef Newgarden,598.0,1.0,20
14,Marcus Ericsson,345.0,10.0,20
15,Max Chilton,139.0,24.0,20
16,Patricio O'Ward,472.0,4.0,20
17,Pietro Fittipaldi,41.0,28.0,20
18,Rinus VeeKay,422.0,6.0,20
19,Romain Grosjean,186.0,21.0,20
20,Ryan Hunter-Reay,239.0,17.0,20
21,Scott Dixon,558.0,2.0,20
22,Scott McLaughlin,325.0,11.0,20
23,Sebastien Bourdais,230.0,18.0,20
24,Simon Pagenaud,504.0,3.0,20
25,Takuma Sato,393.0,8.0,20
26,Tony Kanaan,90.0,27.0,20
27,Will Power,308.0,12.0,20
0,Alex Palou,387.0,7.0,21
1,Alexander Rossi,356.0,9.0,21
2,Colton Herta,343.0,10.0,21
3,Conor Daly,221.0,19.0,21
4,Dalton Kellett,146.0,24.0,21
5,Ed Carpenter,110.0,26.0,21
6,Ed Jones,283.0,15.0,21
7,Felix Rosenqvist,208.0,20.0,21
8,Graham Rahal,439.0,5.0,21
9,Helio Castroneves,197.0,21.0,21
10,Jack Harvey,247.0,18.0,21
11,James Hinchcliffe,185.0,22.0,21
12,Jimmie Johnson,113.0,25.0,21
13,Josef Newgarden,540.0,2.0,21
14,Marcus Ericsson,320.0,12.0,21
15,Max Chilton,155.0,23.0,21
16,Patricio O'Ward,466.0,4.0,21
17,Pietro Fittipaldi,47.0,28.0,21
18,Rinus VeeKay,424.0,6.0,21
19,Romain Grosjean,261.0,17.0,21
20,Ryan Hunter-Reay,288.0,14.0,21
21,Scott Dixon,542.0,1.0,21
22,Scott McLaughlin,289.0,13.0,21
23,Sebastien Bourdais,283.0,16.0,21
24,Simon Pagenaud,505.0,3.0,21
25,Takuma Sato,328.0,11.0,21
26,Tony Kanaan,103.0,27.0,21
27,Will Power,359.0,8.0,21
0,Alex Palou,430.0,7.0,22
1,Alexander Rossi,344.0,9.0,22
2,Colton Herta,298.0,14.0,22
3,Conor Daly,230.0,18.0,22
4,Dalton Kellett,166.0,23.0,22
5,Ed Carpenter,119.0,24.0,22
6,Ed Jones,230.0,19.0,22
7,Felix Rosenqvist,269.0,17.0,22
8,Graham Rahal,354.0,8.0,22
9,Helio Castroneves,189.0,22.0,22
10,Jack Harvey,295.0,15.0,22
11,James Hinchcliffe,197.0,20.0,22
12,Jimmie Johnson,93.0,26.0,22
13,Josef Newgarden,473.0,3.0,22
14,Marcus Ericsson,434.0,5.0,22
15,Max Chilton,112.0,25.0,22
16,Patricio O'Ward,449.0,4.0,22
17,Pietro Fittipaldi,41.0,28.0,22
18,Rinus VeeKay,433.0,6.0,22
19,Romain Grosjean,196.0,21.0,22
20,Ryan Hunter-Reay,327.0,11.0,22
21,Scott Dixon,525.0,2.0,22
22,Scott McLaughlin,334.0,10.0,22
23,Sebastien Bourdais,312.0,13.0,22
24,Simon Pagenaud,603.0,1.0,22
25,Takuma Sato,323.0,12.0,22
26,Tony Kanaan,89.0,27.0,22
27,Will Power,280.0,16.0,22
0,Alex Palou,411.0,7.0,23
1,Alexander Rossi,378.0,8.0,23
2,Colton Herta,304.0,15.0,23
3,Conor Daly,200.0,20.0,23
4,Dalton Kellett,152.0,23.0,23
5,Ed Carpenter,113.0,26.0,23
6,Ed Jones,174.0,22.0,23
7,Felix Rosenqvist,208.0,19.0,23
8,Graham Rahal,429.0,5.0,23
9,Helio Castroneves,197.0,21.0,23
10,Jack Harvey,237.0,17.0,23
11,James Hinchcliffe,297.0,16.0,23
12,Jimmie Johnson,149.0,24.0,23
13,Josef Newgarden,481.0,3.0,23
14,Marcus Ericsson,358.0,11.0,23
15,Max Chilton,126.0,25.0,23
16,Patricio O'Ward,428.0,6.0,23
17,Pietro Fittipaldi,52.0,28.0,23
18,Rinus VeeKay,484.0,2.0,23
19,Romain Grosjean,220.0,18.0,23
20,Ryan Hunter-Reay,310.0,13.0,23
21,Scott Dixon,523.0,1.0,23
22,Scott McLaughlin,365.0,9.0,23
23,Sebastien Bourdais,309.0,14.0,23
24,Simon Pagenaud,455.0,4.0,23
25,Takuma Sato,336.0,12.0,23
26,Tony Kanaan,90.0,27.0,23
27,Will Power,359.0,10.0,23
0,Alex Palou,422.0,6.0,24
1,Alexander Rossi,280.0,15.0,24
2,Colton Herta,319.0,11.0,24
3,Conor Daly,230.0,17.0,24
4,Dalton Kellett,186.0,23.0,24
5,Ed Carpenter,113.0,26.0,24
6,Ed Jones,227.0,19.0,24
7,Felix Rosenqvist,228.0,18.0,24
8,Graham Rahal,415.0,7.0,24
9,Helio Castroneves,193.0,21.0,24
10,Jack Harvey,305.0,12.0,24
11,James Hinchcliffe,303.0,13.0,24
12,Jimmie Johnson,143.0,25.0,24
13,Josef Newgarden,510.0,3.0,24
14,Marcus Ericsson,356.0,9.0,24
15,Max Chilton,154.0,24.0,24
16,Patricio O'Ward,426.0,4.0,24
17,Pietro Fittipaldi,41.0,28.0,24
18,Rinus VeeKay,423.0,5.0,24
19,Romain Grosjean,188.0,22.0,24
