,driver,totalPoints,chamPos,season,current_date
12,Helio Castroneves,435.0,6.0,5,"February 07, 2022"
13,Jack Harvey,469.0,5.0,5,"February 07, 2022"
14,Jimmie Johnson,247.0,22.0,5,"February 07, 2022"
15,Josef Newgarden,491.0,4.0,5,"February 07, 2022"
16,Juan Pablo Montoya,82.0,29.0,5,"February 07, 2022"
17,Kyle Kirkwood,237.0,24.0,5,"February 07, 2022"
18,Marcus Ericsson,314.0,16.0,5,"February 07, 2022"
19,Patricio O'Ward,412.0,7.0,5,"February 07, 2022"
20,Rinus VeeKay,171.0,25.0,5,"February 07, 2022"
21,Romain Grosjean,369.0,10.0,5,"February 07, 2022"
22,Sage Karam,20.0,32.0,5,"February 07, 2022"
23,Santino Ferrucci,10.0,33.0,5,"February 07, 2022"
24,Scott Dixon,394.0,8.0,5,"February 07, 2022"
25,Scott McLaughlin,381.0,9.0,5,"February 07, 2022"
26,Simon Pagenaud,648.0,1.0,5,"February 07, 2022"
27,Simon Pagenaud,648.0,2.0,5,"February 07, 2022"
28,TBA,149.0,27.0,5,"February 07, 2022"
29,Takuma Sato,497.0,3.0,5,"February 07, 2022"
30,Tatiana Calderon,122.0,28.0,5,"February 07, 2022"
31,Tony Kanaan,36.0,31.0,5,"February 07, 2022"
32,Will Power,320.0,13.0,5,"February 07, 2022"
0,Alex Palou,407.0,9.0,6,"February 07, 2022"
1,Alexander Rossi,271.0,19.0,6,"February 07, 2022"
2,Callum Ilott,197.0,26.0,6,"February 07, 2022"
3,Christian Lundgaard,198.0,25.0,6,"February 07, 2022"
4,Colton Herta,413.0,8.0,6,"February 07, 2022"
5,Conor Daly,273.0,18.0,6,"February 07, 2022"
6,Dalton Kellett,184.0,27.0,6,"February 07, 2022"
7,David Malukas,214.0,24.0,6,"February 07, 2022"
8,Delvin DeFrancesco,271.0,20.0,6,"February 07, 2022"
9,Ed Carpenter,16.0,31.0,6,"February 07, 2022"
10,Felix Rosenqvist,361.0,11.0,6,"February 07, 2022"
11,Graham Rahal,332.0,14.0,6,"February 07, 2022"
12,Helio Castroneves,362.0,10.0,6,"February 07, 2022"
13,Jack Harvey,356.0,13.0,6,"February 07, 2022"
14,Jimmie Johnson,238.0,21.0,6,"February 07, 2022"
15,Josef Newgarden,429.0,6.0,6,"February 07, 2022"
16,Juan Pablo Montoya,92.0,28.0,6,"February 07, 2022"
17,Kyle Kirkwood,296.0,17.0,6,"February 07, 2022"
18,Marcus Ericsson,483.0,4.0,6,"February 07, 2022"
19,Patricio O'Ward,426.0,7.0,6,"February 07, 2022"
20,Rinus VeeKay,332.0,15.0,6,"February 07, 2022"
21,Romain Grosjean,321.0,16.0,6,"February 07, 2022"
22,Sage Karam,32.0,30.0,6,"February 07, 2022"
23,Santino Ferrucci,10.0,32.0,6,"February 07, 2022"
24,Scott Dixon,438.0,5.0,6,"February 07, 2022"
25,Scott McLaughlin,219.0,23.0,6,"February 07, 2022"
26,Simon Pagenaud,580.0,1.0,6,"February 07, 2022"
27,Simon Pagenaud,580.0,2.0,6,"February 07, 2022"
28,TBA,90.0,29.0,6,"February 07, 2022"
29,Takuma Sato,360.0,12.0,6,"February 07, 2022"
30,Tatiana Calderon,224.0,22.0,6,"February 07, 2022"
31,Tony Kanaan,10.0,33.0,6,"February 07, 2022"
32,Will Power,566.0,3.0,6,"February 07, 2022"
0,Alex Palou,391.0,7.0,7,"February 07, 2022"
1,Alexander Rossi,293.0,18.0,7,"February 07, 2022"
2,Callum Ilott,246.0,20.0,7,"February 07, 2022"
3,Christian Lundgaard,193.0,24.0,7,"February 07, 2022"
4,Colton Herta,316.0,14.0,7,"February 07, 2022"
5,Conor Daly,181.0,26.0,7,"February 07, 2022"
6,Dalton Kellett,186.0,25.0,7,"February 07, 2022"
7,David Malukas,310.0,17.0,7,"February 07, 2022"
8,Delvin DeFrancesco,245.0,21.0,7,"February 07, 2022"
9,Ed Carpenter,36.0,31.0,7,"February 07, 2022"
10,Felix Rosenqvist,213.0,23.0,7,"February 07, 2022"
11,Graham Rahal,450.0,6.0,7,"February 07, 2022"
12,Helio Castroneves,218.0,22.0,7,"February 07, 2022"
13,Jack Harvey,312.0,15.0,7,"February 07, 2022"
14,Jimmie Johnson,312.0,16.0,7,"February 07, 2022"
15,Josef Newgarden,516.0,4.0,7,"February 07, 2022"
16,Juan Pablo Montoya,108.0,29.0,7,"February 07, 2022"
17,Kyle Kirkwood,355.0,11.0,7,"February 07, 2022"
18,Marcus Ericsson,343.0,12.0,7,"February 07, 2022"
19,Patricio O'Ward,382.0,8.0,7,"February 07, 2022"
20,Rinus VeeKay,290.0,19.0,7,"February 07, 2022"
21,Romain Grosjean,373.0,9.0,7,"February 07, 2022"
22,Sage Karam,10.0,33.0,7,"February 07, 2022"
23,Santino Ferrucci,38.0,30.0,7,"February 07, 2022"
24,Scott Dixon,528.0,3.0,7,"February 07, 2022"
25,Scott McLaughlin,333.0,13.0,7,"February 07, 2022"
26,Simon Pagenaud,659.0,1.0,7,"February 07, 2022"
27,Simon Pagenaud,659.0,2.0,7,"February 07, 2022"
28,TBA,116.0,28.0,7,"February 07, 2022"
29,Takuma Sato,370.0,10.0,7,"February 07, 2022"
30,Tatiana Calderon,175.0,27.0,7,"February 07, 2022"
31,Tony Kanaan,30.0,32.0,7,"February 07, 2022"
32,Will Power,473.0,5.0,7,"February 07, 2022"
0,Alex Palou,276.0,21.0,8,"February 07, 2022"
1,Alexander Rossi,293.0,19.0,8,"February 07, 2022"
2,Callum Ilott,247.0,23.0,8,"February 07, 2022"
3,Christian Lundgaard,330.0,15.0,8,"February 07, 2022"
4,Colton Herta,429.0,5.0,8,"February 07, 2022"
5,Conor Daly,287.0,20.0,8,"February 07, 2022"
6,Dalton Kellett,180.0,27.0,8,"February 07, 2022"
7,David Malukas,315.0,17.0,8,"February 07, 2022"
8,Delvin DeFrancesco,308.0,18.0,8,"February 07, 2022"
9,Ed Carpenter,10.0,32.0,8,"February 07, 2022"
10,Felix Rosenqvist,369.0,10.0,8,"February 07, 2022"
11,Graham Rahal,337.0,14.0,8,"February 07, 2022"
12,Helio Castroneves,388.0,7.0,8,"February 07, 2022"
13,Jack Harvey,351.0,12.0,8,"February 07, 2022"
14,Jimmie Johnson,210.0,26.0,8,"February 07, 2022"
15,Josef Newgarden,349.0,13.0,8,"February 07, 2022"
