Car No.,Driver,Team,Engine,Rounds,year
2,Josef Newgarden,Team Penske,Chevy,Full Season,2021
3,Scott McLaughlin,Team Penske,Chevy,Full Season,2021
4,Dalton Kellett,AJ Foyt Racing,Chevy,Full Season,2021
5,Pato O'Ward,Arrow McLaren SP,Chevy,Full Season,2021
6,Helio Castroneves,Meyer Shank Racing,Honda,Six Races,2021
7,Oliver Askew,Arrow McLaren SP,Chevy,Belle Isle Race 2,2021
7,Kevin Magnussen,Arrow McLaren SP,Chevy,Road America,2021
7,Felix Rosenqvist,Arrow McLaren SP,Chevy,Full Season,2021
8,Marcus Ericsson,Chip Ganassi Racing,Honda,Full Season,2021
9,Scott Dixon,Chip Ganassi Racing,Honda,Full Season,2021
10,Alex Palou,Chip Ganassi Racing,Honda,Full Season,2021
11,Charlie Kimball,AJ Foyt Racing,Chevy,GMR/IND500/LB,2021
12,Will Power,Team Penske,Chevy,Full Season,2021
14,Sebastien Bourdais,AJ Foyt Racing,Chevy,Full Season,2021
15,Graham Rahal,Rahal Letterman Lanigan Racing,Honda,Full Season,2021
16,Simona de Silvestro,Paretta Autosport,Chevy,Indy 500,2021
18,Ed Jones,Dale Coyne Racing/Vasser-Sullivan,Honda,Full Season,2021
20,Ed Carpenter,Ed Carpenter Racing,Chevy,Ovals,2021
20,Conor Daly,Ed Carpenter Racing,Chevy,Road/Street,2021
21,Oliver Askew,Ed Carpenter Racing,Chevy,Road America,2021
21,Rinus VeeKay,Ed Carpenter Racing,Chevy,Full Season,2021
22,Simon Pagenaud,Team Penske,Chevy,Full Season,2021
24,Sage Karam,Dreyer & Reinbold Racing,Chevy,Indy 500,2021
25,Stefan Wilson,Andretti Autosport,Honda,Indy 500,2021
26,Colton Herta,Andretti Autosport,Honda,Full Season,2021
27,Alexander Rossi,Andretti Autosport,Honda,Full Season,2021
28,Ryan Hunter-Reay,Andretti Autosport,Honda,Full Season,2021
29,James Hinchcliffe,Andretti Steinbrenner Autosport,Honda,Full Season,2021
30,Takuma Sato,Rahal Letterman Lanigan Racing,Honda,Full Season,2021
45,Oliver Askew,Rahal Letterman Lanigan Racing,Honda,POR/LAG/LB,2021
45,Santino Ferrucci,Rahal Letterman Lanigan Racing,Honda,Multiple Races,2021
45,Christian Lundgaard,Rahal Letterman Lanigan Racing,Honda,Aug IMS,2021
47,Conor Daly,Ed Carpenter Racing,Chevy,Indy 500,2021
48,Jimmie Johnson,Chip Ganassi Racing,Honda,Road/Street,2021
