resultID,deleted,marker,rank,diff,gap,overallRank,startPosition,bestLapTime,bestLap,lastLapTime,laps,totalTime,status,onTrack,pitStops,lastPitLap,sincePitLap,flagStatus,no,firstName,lastName,className,equipment,license,team,totalEntrantPoints,totalDriverPoints,comment,oldRank,OverTake_Remain,OverTake_Active,Tire,BestSpeed,LastSpeed,AverageSpeed,NTRank,NTLap,NTBestTime,NTBestSpeed,Passes,Passed,Best_S1,Best_I1,Best_L4,Best_P2,Best_S2,Best_L5,Best_L7,Best_L3,Best_S3,Best_T3_SPD,Best_S4A,Best_S4,Best_S4B,Best_S5A,Best_S5,Best_I2,Best_S5B,Best_T5_SPD,Best_S6A,Best_S6,Best_S6B,Best_S7,Best_L6,Best_I3,Best_S8,Best_P1,Best_L2,S1,I1,L4,P2,S2,L5,L7,L3,S3,T3_SPD,S4A,S4,S4B,S5A,S5,I2,S5B,T5_SPD,S6A,S6,S6B,S7,L6,I3,S8,P1,L2,EntrantID,TeamID,DriverID,T5,T3,time_stamp,Best_T5,Best_T3
24,0,4,21,22.8155,1.8347,21,25,1:03.2295,9,1:03.6080,42,50:58.0563,Active,TRUE,2,31,11,Green,11,Tatiana,Calderon,IndyCar,D/C/F,Rookie,AJ Foyt Enterprises,9,9,"",23,136,0,A,102.484,101.874,88.998,4,29,1:12.0343,89.957,8,11,2.8826,29.173,82.8754,10.592,6.2701,4.4965,448.912,80.031,6.6574,155.371,4.6874,13.2383,8.5485,3.8326,10.5903,20.8665,6.7233,156.74,5.099,10.2315,5.1044,8.6794,12.5095,12.9191,4.167,21.4343,32.0263,2.9257,29.374,,,6.35,,,,6.7824,152.475,4.7464,13.3159,8.5695,,,,,,,,,,,,,,,10,1,596,,,2022-02-27T18:22:05.309269Z,,
20,0,0,22,26.7803,3.9648,22,21,1:02.1335,16,1:23.0158,42,51:02.0211,Active,TRUE,2,42,0,Green,7,Felix,Rosenqvist,IndyCar,D/C/F,Veteran,Arrow McLaren SP,8,8,"",4,86,0,P,104.292,78.057,88.882,0,0,-0.0001,,7,3,2.8693,28.7432,58.8024,10.6839,6.1479,4.0055,798.511,58.7722,6.5073,157.676,4.6773,13.0439,8.3655,3.7425,10.4535,20.4592,6.6488,156.65,4.9432,9.9649,4.9847,8.6032,9.5535,12.6834,4.049,22.1169,32.815,2.9155,28.7897,58.8024,10.6967,,4.0328,,,7.0506,147.873,,,,,,,,,,,,,,,,,,6,24,963,,,2022-02-27T18:22:05.309269Z,,
12,0,4,23,28.7120,1.9317,23,13,1:01.9304,42,1:01.9304,42,51:03.9528,Active,TRUE,1,37,5,Green,27,Alexander,Rossi,IndyCar,D/H/F,Veteran,Andretti Autosport,8,8,"",25,90,0,A,104.634,104.634,88.826,3,41,1:02.1366,104.286,3,16,2.8816,28.6353,60.2314,23.1202,6.0714,3.9196,3018.16,58.1116,6.5065,157.192,4.6158,13.003,8.35,3.7279,10.4229,20.4144,6.62,157.343,4.9329,9.9468,4.9617,8.5395,9.9761,12.7489,4.064,13.4621,36.5823,2.9072,,,,6.1601,,,,6.5814,155.164,4.6667,,,,,,,,,,,,,,,,,18,3,522,,,2022-02-27T18:22:05.309269Z,,
8,0,1,24,30.7567,2.0447,24,9,1:01.8650,22,1:18.9846,42,51:05.9975,Active,TRUE,2,41,1,Green,2,Josef,Newgarden,IndyCar,D/C/F,Veteran,Team Penske,6,6,"",14,95,0,P,104.744,82.041,88.767,0,0,-0.0001,,4,12,2.8793,28.6561,59.0551,18.9623,6.1445,3.8579,871.723,58.0539,6.5089,156.8,4.627,13.0012,8.3742,3.7365,10.4349,20.4611,6.6984,155.755,4.9791,10.0067,4.989,8.4736,9.4568,12.6269,4.109,13.429,32.3913,2.8794,,,,6.1832,,,,6.7744,152.504,4.7331,,,,,,,,,,,,,,,,,1,12,606,,,2022-02-27T18:22:05.309269Z,,
11,0,1,25,31.7145,0.9578,25,12,1:01.9930,15,1:08.2663,42,51:06.9553,Active,TRUE,2,41,1,Green,14,Kyle,Kirkwood,IndyCar,D/C/F,Rookie,AJ Foyt Enterprises,5,5,"",24,98,0,P,104.528,94.922,88.739,0,0,-0.0001,,29,11,2.8843,28.6084,59.3706,10.808,6.1307,3.8759,930.807,57.4583,6.4995,158.042,4.6755,12.9956,8.2947,3.7434,10.4857,20.5064,6.6288,156.47,4.9409,9.9763,4.9457,8.5228,9.4382,12.7113,4.0929,23.6374,34.4454,2.8888,,,,6.1586,,,,6.6445,155.076,4.7186,,,,,,,,,,,,,,,,,12,2,954,,,2022-02-27T18:22:05.309269Z,,
23,0,3,26,19 LAPS,18 LAPS,26,24,1:02.5290,23,1:02.5290,23,25:12.1770,Contact,TRUE,1,21,2,Green,18,David,Malukas,IndyCar,D/H/F,Rookie,Dale Coyne Racing with HMD,5,5,Contact,26,144,0,P,103.632,103.632,98.56,0,0,-0.0001,,9,14,2.8668,29.0527,64.849,10.6199,6.2044,3.898,1638.17,57.9775,6.5909,157.707,4.6721,13.1685,8.4413,3.7874,10.5107,20.5874,6.6928,156.44,5.006,10.0767,4.9951,8.6747,10.7214,12.8889,4.1334,27.0674,37.6873,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,129,1014,,,2022-02-27T18:22:05.309269Z,,
6,0,1,1,0.0000,0.0000,1,7,1:01.5227,43,1:01.5227,43,51:36.7635,Active,TRUE,1,11,32,Green,9,Scott,Dixon,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,51,51,"",1,83,0,P,105.327,105.327,89.978,1,45,1:01.5227,105.327,4,11,2.8829,28.5582,59.1606,19.9973,6.1516,3.8309,995.634,58.2045,6.4996,158.624,4.5917,12.9292,8.3035,3.7419,10.3245,20.2778,6.5505,156.74,4.9526,9.9533,4.9955,8.4772,9.4442,12.6615,4.0784,13.4901,33.4874,2.9046,,,,6.2022,,,,6.5298,157.282,4.5917,,,,,,,,,,,,,,,,,8,25,326,,,2022-02-27T18:22:40.974327Z,,
15,0,1,2,2.9928,2.9928,2,16,1:01.8379,43,1:01.8379,43,51:39.7563,Active,TRUE,1,12,31,Green,5,Pato,O'Ward,IndyCar,D/C/F,Veteran,Arrow McLaren SP,40,40,"",2,99,0,P,104.79,104.79,89.891,0,0,-0.0001,,8,10,2.8805,28.693,58.7359,19.4621,6.1405,3.8809,1049.09,58.1144,6.485,157.524,4.6827,13.1155,8.3716,3.756,10.3717,20.2871,6.5817,159.148,4.9351,9.9154,4.9803,8.4732,9.6694,12.6876,4.112,13.4372,32.8993,2.9141,,,,6.1405,,,,6.485,157.433,4.6827,,,,,,,,,,,,,,,,,4,24,852,,,2022-02-27T18:22:40.974327Z,,
3,0,4,3,9.8018,6.8090,3,4,1:01.9747,3,1:02.7301,43,51:46.5653,Active,TRUE,1,20,23,Green,21,Rinus,VeeKay,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,35,35,"",4,112,0,P,104.559,103.3,89.694,0,0,-0.0001,,10,10,2.9067,28.6211,64.9439,21.5031,6.0765,4.2119,1575.18,60.1775,6.5239,155.518,4.6455,13.0498,8.393,3.7836,10.5167,20.501,6.5906,155.844,4.9244,9.9741,5.0155,8.5114,10.6043,12.7431,4.1167,13.5062,35.0093,3.0081,,,,6.1058,,,,6.5523,150.18,,,,,,,,,,,,,,,,,,16,139,1010,,,2022-02-27T18:22:40.974327Z,,
0,0,4,5,11.9823,0.4309,5,1,1:01.5548,4,1:02.7936,43,51:48.7458,Active,TRUE,1,27,16,Green,3,Scott,McLaughlin,IndyCar,D/C/F,Veteran,Team Penske,34,34,"",7,132,0,P,105.272,103.195,89.631,2,6,1:01.5548,105.272,8,1,2.907,28.4458,104.527,20.1908,6.0518,3.9744,2085.52,106.377,6.4788,156.89,4.5838,12.9155,8.2823,3.7309,10.4371,20.4118,6.6705,157.373,4.9434,9.9523,4.9642,8.4835,12.3404,12.6911,4.1126,13.4927,33.6835,2.907,,,,6.2214,,,,,,,,,,,,,,,,,,,,,,,2,12,2022,,,2022-02-27T18:22:40.974327Z,,
