resultID,deleted,marker,rank,diff,gap,overallRank,startPosition,bestLapTime,bestLap,lastLapTime,laps,totalTime,status,onTrack,pitStops,lastPitLap,sincePitLap,flagStatus,no,firstName,lastName,className,equipment,license,team,comment,oldRank,OverTake_Remain,OverTake_Active,Tire,NTRank,NTLap,NTBestTime,Best_S7,Best_L6,Best_I3,Best_S8,Best_P1,Best_L2,Best_S1,Best_I1,Best_L4,Best_P2,Best_S2,Best_L5,Best_L7,Best_L3,Best_S3,Best_T3,Best_S4A,Best_S4,Best_S4B,Best_S5A,Best_S5,Best_I2,Best_S5B,Best_T5,Best_S6A,Best_S6,Best_S6B,S7,L6,I3,S8,P1,L2,S1,I1,L4,P2,S2,L5,L7,L3,S3,T3,S4A,S4,S4B,S5A,S5,I2,S5B,T5,S6A,S6,S6B,EntrantID,TeamID,DriverID,Best_T5_SPD,T5_SPD,Best_T3_SPD,T3_SPD,time_stamp,BestSpeed,LastSpeed,AverageSpeed,NTBestSpeed
3,0,7,3,0.0000,0.0000,3,4,0.0000,0,0.0000,0,1:15.8787,In Pit,False,0,0,0,Green,5,Pato,O'Ward,IndyCar,D/C/F,Veteran,Arrow McLaren SP,"",0,0,0,P,0,0,-0.0001,"","","","",13.4769,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,24,852,,,,,2022-02-25T20:42:46.916821Z,,,,
7,0,7,4,0.0000,0.0000,4,8,0.0000,0,0.0000,0,1:17.4633,In Pit,False,0,0,0,Green,9,Scott,Dixon,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"","","","",13.3864,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8,25,326,,,,,2022-02-25T20:42:46.916821Z,,,,
16,0,7,5,0.0000,0.0000,5,17,0.0000,0,0.0000,0,1:18.3149,In Pit,False,0,0,0,Green,26,Colton,Herta,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,"","","","",13.4696,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",17,3,879,,,,,2022-02-25T20:42:46.916821Z,,,,
6,0,7,6,0.0000,0.0000,6,7,0.0000,0,0.0000,0,1:20.8123,In Pit,False,0,0,0,Green,8,Marcus,Ericsson,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"",13.5492,"","",13.4748,"","","","","","","",82.4883,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",7,25,1087,,,,,2022-02-25T20:42:46.916821Z,,,,
12,0,7,7,0.0000,0.0000,7,13,0.0000,0,0.0000,0,1:21.7504,In Pit,False,0,0,0,Green,15,Graham,Rahal,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,"",13.4504,"","",13.4310,"","","","","","","",82.5785,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",13,21,400,,,,,2022-02-25T20:42:46.916821Z,,,,
1,0,7,8,0.0000,0.0000,8,2,0.0000,0,0.0000,0,1:23.4253,In Pit,False,0,0,0,Green,3,Scott,McLaughlin,IndyCar,D/C/F,Rookie,Team Penske,"",0,0,0,P,0,0,-0.0001,"",13.0694,"","",13.4307,"","","","","","","",82.8901,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,12,2022,,,,,2022-02-25T20:42:46.916821Z,,,,
10,0,7,9,0.0000,0.0000,9,11,0.0000,0,0.0000,0,1:24.0155,In Pit,False,0,0,0,Green,12,Will,Power,IndyCar,D/C/F,Veteran,Team Penske,"",0,0,0,P,0,0,-0.0001,"",13.3018,"","",13.4673,"","","","","","","",82.7196,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11,12,461,,,,,2022-02-25T20:42:46.916821Z,,,,
17,0,7,10,0.0000,0.0000,10,18,0.0000,0,0.0000,0,1:25.3392,In Pit,False,0,0,0,Green,27,Alexander,Rossi,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,"",12.8706,"","",13.4817,"","","","","","","",82.4083,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18,3,522,,,,,2022-02-25T20:42:46.916821Z,,,,
15,0,7,11,0.0000,0.0000,11,16,0.0000,0,0.0000,0,1:26.0172,In Pit,False,0,0,0,Green,21,Rinus,VeeKay,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,"",0,0,0,P,0,0,-0.0001,"",12.8002,"","",13.6218,"","","","","","","",81.8938,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",16,139,1010,,,,,2022-02-25T20:42:46.916821Z,,,,
14,0,7,12,0.0000,0.0000,12,15,0.0000,0,0.0000,0,1:28.1143,In Pit,False,0,0,0,Green,20,Conor,Daly,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,"",0,0,0,P,0,0,-0.0001,"",12.7543,"","","","","","","","","","",83.0923,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15,139,580,,,,,2022-02-25T20:42:46.916821Z,,,,
18,0,7,13,0.0000,0.0000,13,19,0.0000,0,0.0000,0,1:28.7920,In Pit,False,0,0,0,Green,28,Romain,Grosjean,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,"",13.3869,"","","","","","","","","","",83.2909,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",19,3,1047,,,,,2022-02-25T20:42:46.916821Z,,,,
5,0,7,14,0.0000,0.0000,14,6,0.0000,0,0.0000,0,1:30.8786,In Pit,False,0,0,0,Green,7,Felix,Rosenqvist,IndyCar,D/C/F,Veteran,Arrow McLaren SP,"",0,0,0,P,0,0,-0.0001,"",12.9111,"","","","","","","","","","",83.8440,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,24,963,,,,,2022-02-25T20:42:46.916821Z,,,,
21,0,7,15,0.0000,0.0000,15,22,0.0000,0,0.0000,0,1:31.8908,In Pit,False,0,0,0,Green,45,Jack,Harvey,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,"",13.4351,"","","","","","","","","","",83.9597,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",22,21,850,,,,,2022-02-25T20:42:46.916821Z,,,,
