resultID,deleted,marker,rank,diff,gap,overallRank,startPosition,bestLapTime,bestLap,lastLapTime,laps,totalTime,status,onTrack,pitStops,lastPitLap,sincePitLap,flagStatus,no,firstName,lastName,className,equipment,license,team,comment,oldRank,OverTake_Remain,OverTake_Active,Tire,NTRank,NTLap,NTBestTime,Best_S7,Best_L6,Best_I3,Best_S8,Best_P1,Best_L2,Best_S1,Best_I1,Best_L4,Best_P2,Best_S2,Best_L5,Best_L7,Best_L3,Best_S3,Best_T3,Best_S4A,Best_S4,Best_S4B,Best_S5A,Best_S5,Best_I2,Best_S5B,Best_T5,Best_S6A,Best_S6,Best_S6B,S7,L6,I3,S8,P1,L2,S1,I1,L4,P2,S2,L5,L7,L3,S3,T3,S4A,S4,S4B,S5A,S5,I2,S5B,T5,S6A,S6,S6B,EntrantID,TeamID,DriverID,time_stamp,Best_T3_SPD,T3_SPD,Best_T5_SPD,T5_SPD,BestSpeed,LastSpeed,AverageSpeed,NTBestSpeed
43,0,0,18,0.0000,0.0000,18,18,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,27,Alexander,Rossi,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","",4.7532,"","",9.1291,,8.3902,"","","","","","","","","","","","","","","","","","","","","",4.7532,"","",9.1291,,8.3902,"","","","","","","","","","",18,3,522,2022-02-26T14:00:48.416387Z,86.902,86.902,,,,,,
44,0,0,19,0.0000,0.0000,19,19,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,28,Romain,Grosjean,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","",10.9887,"",4.7257,"","",8.9616,,7.2572,"","","","","","","","","","","","","","","","","","","",10.9887,"",4.7257,"","",8.9616,,7.2572,"","","","","","","","","","",19,3,2047,2022-02-26T14:00:48.416387Z,107.120,107.120,,,,,,
45,0,0,20,0.0000,0.0000,20,20,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,29,Devlin,DeFrancesco,IndyCar,D/H/F,Rookie,Andretti Steinbrenner Autosport,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","",10.5361,"",4.2790,"","",8.9845,,7.3178,"","","","","","","","","","","","","","","","","","","",10.5361,"",4.2790,"","",8.9845,,7.3178,"","","","","","","","","","",20,3,2020,2022-02-26T14:00:48.416387Z,106.271,106.271,,,,,,
46,0,0,21,0.0000,0.0000,21,21,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,30,Christian,Lundgaard,IndyCar,D/H/F,Rookie,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","",5.0509,"","",9.2857,,7.8173,"","","","","","","","","","","","","","","","","","","","","",5.0509,"","",9.2857,,7.8173,"","","","","","","","","","",21,21,2071,2022-02-26T14:00:48.416387Z,85.147,85.147,,,,,,
47,0,0,22,0.0000,0.0000,22,22,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,45,Jack,Harvey,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","",10.5486,"",4.7122,"","",9.8262,,7.1488,"","","","","","","","","","","","","","","","","","","",10.5486,"",4.7122,"","",9.8262,,7.1488,"","","","","","","","","","",22,21,850,2022-02-26T14:00:48.416387Z,85.272,85.272,,,,,,
48,0,7,23,0.0000,0.0000,23,23,0.0000,0,0.0000,0,0.0000,IN PIT,False,0,0,0,Green,48,Jimmie,Johnson,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,25,2031,2022-02-26T14:00:48.416387Z,,,,,,,,
49,0,0,24,0.0000,0.0000,24,24,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,51,Takuma,Sato,IndyCar,D/H/F,Veteran,Dale Coyne Racing w/RWR,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","",11.3331,"",5.1323,"","",9.7640,,7.4590,"","","","","","","","","","","","","","","","","","","",11.3331,"",5.1323,"","",9.7640,,7.4590,"","","","","","","","","","",24,129,543,2022-02-26T14:00:48.416387Z,91.071,91.071,,,,,,
50,0,0,25,0.0000,0.0000,25,25,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,60,Simon,Pagenaud,IndyCar,D/H/F,Veteran,Meyer Shank Racing,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","",5.0216,"","",10.0318,,7.4907,"","","","","","","","","","","","","","","","","","","","","",5.0216,"","",10.0318,,7.4907,"","","","","","","","","","",25,148,658,2022-02-26T14:00:48.416387Z,81.549,81.549,,,,,,
51,0,0,26,0.0000,0.0000,26,26,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,77,Callum,Ilott,IndyCar,D/C/F,Rookie,Juncos Hollinger Racing,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","",10.6008,"",4.3898,"","",9.9767,,7.2048,"","","","","","","","","","","","","","","","","","","",10.6008,"",4.3898,"","",9.9767,,7.2048,"","","","","","","","","","",26,146,2072,2022-02-26T14:00:48.416387Z,90.367,90.367,,,,,,
26,0,0,1,0.0000,0.0000,1,1,0.0000,0,0.0000,0,59.1076,Active,True,0,0,0,Green,10,Alex,Palou,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,9.2926,"",13.5877,4.2951,"","",3.0754,"","","","",4.8042,"",67.5593,8.6647,,6.2800,16.7369,10.4569,4.4656,12.0164,23.7658,7.5508,,6.2317,11.7494,5.5177,9.2926,"",13.5877,4.2951,"","",3.0754,"","","","",4.8042,"",67.5593,8.6647,,6.2800,16.7369,10.4569,4.4656,12.0164,23.7658,7.5508,,6.2317,11.7494,5.5177,9,25,2018,2022-02-26T14:01:24.101545Z,121.989,121.989,129.234,129.234,,,,
27,0,0,2,0.0000,0.0000,2,2,0.0000,0,0.0000,0,1:01.7487,Active,True,0,0,0,Green,2,Josef,Newgarden,IndyCar,D/C/F,Veteran,Team Penske,"",0,0,0,P,0,0,-0.0001,9.6821,"",13.9608,4.2787,"","",3.0285,"","","","",4.5072,"",69.8476,8.8886,,6.6475,17.5794,10.9319,4.9131,12.9188,24.9116,8.0057,,6.4196,11.9928,5.5732,9.6821,"",13.9608,4.2787,"","",3.0285,"","","","",4.5072,"",69.8476,8.8886,,6.6475,17.5794,10.9319,4.9131,12.9188,24.9116,8.0057,,6.4196,11.9928,5.5732,1,12,606,2022-02-26T14:01:24.101545Z,109.705,109.705,115.253,115.253,,,,
