1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
7.00000000,10,10,10,15,15,15,15,59,59,15.00000000,98,27,27,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.00000000,15,15,7,18,2,2,15,30,30.00000000,30,30,30,30,30,30,30,18,18,18.00000000,18,18,18,18,18,18,18,18,18,18,18,14,7,15,7,15,28,28,7,7,7.00000000,7,7,7,7,7,7,7,7,7.00000000,7,7,7,7,7,7,7,7,7
10.00000000,59,59,59,59,59,59,59,15,15,25.00000000,14,18,10,18,15,98,98,98,98,98,98,98,98,98,30,30,30,30,30,30,30.00000000,30,30,59,7,4,19,19,19,19.00000000,19,19,19,19,19,19,19,98,98,98.00000000,98,98,98,98,59,59,59,59,59,59,59,7,15,28,28,28,15,15,15,15,15.00000000,15,15,15,15,15,15,15,15,15.00000000,15,15,15,15,15,15,15,15,15
25.00000000,7,7,7,7,7,7,7,25,25,98.00000000,4,60,7,15,98,30,30,30,30,30,30,30,30,30,98,98,98,98,59,59,59.00000000,59,59,25,14,19,30,30,18,98.00000000,98,98,98,98,98,98,98,59,59,59.00000000,59,59,59,59,98,98,98,98,28,28,28,15,28,59,59,59,59,59,59,59,59.00000000,59,59,59,59,59,59,59,59,59.00000000,59,59,59,59,59,59,59,59,59
59.00000000,25,25,25,25,25,25,25,21,21,26.00000000,22,22,15,59,30,59,59,59,59,59,59,59,59,59,59,59,59,59,25,25,25.00000000,25,25,18,26,30,60,98,98,18.00000000,25,25,25,18,18,18,18,26,26,26.00000000,26,26,14,14,14,14,14,28,23,23,14,28,98,98,98,98,98,98,98,98,98.00000000,98,98,98,98,98,98,98,98,98.00000000,98,98,98,98,98,98,98,98,98
30.00000000,30,21,21,21,21,21,21,98,98,14.00000000,18,7,59,98,59,21,21,21,21,21,21,25,25,25,25,25,25,25,18,18,18.00000000,18,18,14,4,60,98,25,25,25.00000000,18,18,18,59,59,59,59,14,21,21.00000000,21,21,23,23,23,23,28,23,14,14,21,98,14,23,23,23,23,23,23,23,23.00000000,23,23,23,23,23,23,23,23,23.00000000,23,23,23,23,23,23,23,23,23
21.00000000,21,98,98,98,98,98,98,30,20,4.00000000,60,98,14,30,21,25,25,25,25,25,25,21,21,21,21,18,18,18,14,14,14.00000000,14,14,26,30,98,25,59,59,59.00000000,59,59,59,26,26,26,26,21,14,14.00000000,14,14,28,28,28,28,23,14,21,21,60,60,23,30,30,30,30,30,30,21,21.00000000,21,21,21,21,21,21,21,21,21.00000000,21,21,21,14,14,14,14,14,14
26.00000000,98,30,30,30,30,30,30,20,26,18.00000000,7,59,98,21,25,18,18,18,18,18,18,18,18,18,18,14,14,14,21,26,26.00000000,26,26,19,28,59,59,26,26,26.00000000,26,26,26,23,23,23,23,23,23,23.00000000,23,23,21,21,21,21,21,21,60,60,4,21,30,21,21,21,21,21,21,14,14.00000000,14,14,14,14,14,14,14,14,14.00000000,14,14,14,4,4,4,4,4,4
20.00000000,20,20,20,20,20,20,20,26,14,60.00000000,26,21,30,25,18,60,14,14,14,14,14,14,14,14,14,21,21,21,26,21,21.00000000,21,4,4,19,25,4,23,23,23.00000000,23,23,23,14,14,14,14,28,28,28.00000000,28,28,60,60,60,60,60,60,4,4,23,4,21,14,14,14,14,14,14,4,4.00000000,4,4,4,4,4,4,4,4,4.00000000,4,4,4,26,26,26,26,26,26
98.00000000,26,26,26,26,26,26,26,14,4,59.00000000,59,4,21,14,14,14,26,26,26,26,26,26,26,26,26,26,26,26,4,4,4.00000000,4,23,28,60,26,26,14,14,14.00000000,14,14,14,21,21,21,21,60,60,60.00000000,60,60,4,4,4,4,4,4,30,30,98,23,4,4,4,4,4,4,4,26,26.00000000,26,26,26,26,26,26,26,26,26.00000000,26,26,26,60,60,60,60,60,60
18.00000000,18,14,14,14,14,14,14,4,18,21.00000000,25,30,25,26,26,26,4,4,4,4,4,4,4,4,4,4,4,4,23,23,23.00000000,23,28,60,25,14,14,21,21,21.00000000,21,21,21,4,4,4,28,4,4,4.00000000,4,4,30,30,30,30,30,30,26,26,30,30,26,26,26,26,26,26,26,60,60.00000000,60,60,60,60,60,60,60,60,60.00000000,60,60,60,21,21,21,21,21,
23.00000000,14,4,4,4,4,4,4,18,60,7.00000000,21,26,26,28,4,4,20,23,23,23,23,23,23,23,23,23,23,23,20,20,20.00000000,20,60,20,98,28,23,4,4,4.00000000,4,4,4,28,28,28,20,30,30,30.00000000,30,30,26,26,26,26,26,26,98,98,26,26,60,60,60,60,60,60,60,30,30.00000000,30,30,30,30,30,30,30,30,30.00000000,30,30,30,30,30,30,30,30,
14.00000000,4,18,18,18,18,18,18,60,23,20.00000000,30,25,4,4,20,20,23,20,20,20,20,20,20,20,20,20,20,20,60,60,60.00000000,60,20,98,23,23,21,60,28,28.00000000,28,28,28,60,60,60,60,20,25,25.00000000,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25.00000000,25,25,25,25,25,25,25,25,25.00000000,25,25,25,25,25,25,25,25,
4.00000000,60,60,60,60,60,60,60,23,7,30.00000000,20,20,20,20,23,23,60,60,60,60,60,60,60,60,60,60,60,60,28,28,28.00000000,28,98,23,21,21,28,28,60,60.00000000,60,60,60,20,20,20,4,25,20,20.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.00000000,23,23,23,23,23,23,23,7,30,23.00000000,23,23,23,23,28,28,28,28,28,28,28,28,28,28,28,28,28,28,98,98,98.00000000,98,21,21,20,20,20,20,20,20.00000000,20,20,20,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
