Car,Driver Name,Lap,LapTime,MPH,S1,P2,STOPTIME,I1,L4_SFtoPI,S2,L5,L7,L3_POtoSF,S3,T3,S4A,S4,S4B,S5A,S5,I2,S5B,T5,S6A,S6,S6B,S7,L6,I3,P1,L2_PItoPO,S8,Status,TOD,TIRE,OT Remain,OT Used
9,Dixon,83,62.7901,103.201,2.9028,0,0,29.1861,0,6.2327,0,0,0,6.5859,0.5206,4.6952,13.4647,8.7695,3.9525,10.6461,20.7238,6.6936,0.5217,5.0592,10.0777,5.0185,8.6669,0,12.8802,0,0,4.2133,,14:08.0,P,53,0
9,Dixon,84,62.4805,103.712,2.9182,0,0,28.9852,0,6.1717,0,0,0,6.556,0.5191,4.6663,13.3393,8.673,3.9074,10.5182,20.6431,6.6108,0.5219,5.1088,10.1249,5.0161,8.6462,0,12.8522,0,0,4.206,,15:10.5,P,53,0
9,Dixon,85,62.539,103.615,2.9087,0,0,29.1039,0,6.2232,0,0,0,6.541,0.5159,4.7953,13.431,8.6357,3.8701,10.5214,20.6375,6.6513,0.5253,5.1098,10.1161,5.0063,8.6247,0,12.7976,0,0,4.1729,,16:13.0,P,53,0
9,Dixon,86,62.5971,103.519,2.9299,0,0,29.1287,0,6.3288,0,0,0,6.5567,0.516,4.6884,13.3133,8.6249,3.8842,10.4985,20.631,6.6143,0.5186,5.1119,10.1325,5.0206,8.7064,0,12.8374,0,0,4.131,,17:15.6,P,49,4
9,Dixon,87,63.4365,102.149,2.9972,0,0,29.8032,0,6.6343,0,0,0,6.6275,0.5151,4.8551,13.5442,8.6891,3.9423,10.5498,20.7032,6.6075,0.5197,5.1429,10.1534,5.0105,8.7244,0,12.9301,0,0,4.2057,,18:19.1,P,49,0
9,Dixon,88,62.6441,103.442,2.9359,0,0,29.0689,0,6.2713,0,0,0,6.578,0.5164,4.7352,13.2837,8.5485,3.8556,10.4981,20.6561,6.6425,0.5189,5.1365,10.158,5.0215,8.705,0,12.9191,0,0,4.2141,,19:21.7,P,49,0
9,Dixon,89,62.3562,103.919,2.9135,0,0,28.8172,0,6.2438,0,0,0,6.5255,0.5131,4.655,13.1344,8.4794,3.8798,10.5157,20.6013,6.6359,0.5235,5.0769,10.0856,5.0087,8.7288,0,12.9377,0,0,4.2089,,20:24.1,P,49,0
9,Dixon,90,62.4038,103.84,2.9084,0,0,28.8368,0,6.2005,0,0,0,6.5137,0.5155,4.6951,13.2142,8.5191,3.8749,10.4972,20.6027,6.6223,0.5223,5.0854,10.1055,5.0201,8.7634,0,12.9643,0,0,4.2009,,21:26.5,P,49,0
9,Dixon,91,62.3598,103.913,2.8989,0,0,28.8513,0,6.1981,0,0,0,6.5272,0.5173,4.7011,13.2271,8.526,3.8756,10.5146,20.5615,6.639,0.5212,5.0666,10.0469,4.9803,8.7442,0,12.947,0,0,4.2028,,22:28.8,P,49,0
9,Dixon,92,62.5462,103.603,2.9106,0,0,29.016,0,6.2451,0,0,0,6.5368,0.5168,4.7486,13.3235,8.5749,3.901,10.5275,20.6597,6.6265,0.5214,5.1123,10.1322,5.0199,8.6535,0,12.8705,0,0,4.217,,23:31.4,P,49,0
9,Dixon,93,62.4668,103.735,2.911,0,0,28.9593,0,6.2126,0,0,0,6.5273,0.516,4.7018,13.3084,8.6066,3.8704,10.4767,20.6123,6.6063,0.5201,5.1118,10.1356,5.0238,8.7045,0,12.8952,0,0,4.1907,,24:33.8,P,49,0
9,Dixon,94,62.5401,103.614,2.9085,0,0,29.0632,0,6.2655,0,0,0,6.5363,0.5157,4.7417,13.3529,8.6112,3.9125,10.5611,20.6763,6.6486,0.5282,5.1198,10.1152,4.9954,8.6269,0,12.8006,0,0,4.1737,,25:36.4,P,49,0
9,Dixon,95,62.7259,103.307,2.937,0,0,29.2041,0,6.3363,0,0,0,6.5942,0.5154,4.6863,13.3366,8.6503,3.9188,10.5362,20.5835,6.6174,0.5195,5.0646,10.0473,4.9827,8.7187,0,12.9383,0,0,4.2196,,26:39.1,P,49,0
9,Dixon,96,62.674,103.392,2.9241,0,0,29.1249,0,6.2756,0,0,0,6.5255,0.5142,4.7392,13.3997,8.6605,3.8699,10.4868,20.6563,6.6169,0.5216,5.1585,10.1695,5.011,8.7003,0,12.8928,0,0,4.1925,,27:41.8,P,49,0
9,Dixon,97,63.0169,102.83,2.9513,0,0,29.2032,0,6.3018,0,0,0,6.5433,0.5151,4.7845,13.4068,8.6223,3.9169,10.5408,20.8049,6.6239,0.5236,5.232,10.2641,5.0321,8.9087,0,13.0088,0,0,4.1001,,28:44.8,P,44,5
9,Dixon,98,66.2623,97.793,2.9406,0,0,32.1928,0,6.8284,0,0,0,7.084,0.5285,5.2127,15.3398,10.1271,4.1137,10.8036,21.162,6.6899,0.5284,5.303,10.3584,5.0554,8.7882,0,12.9075,0,0,4.1193,,29:51.1,P,40,4
9,Dixon,99,62.7061,103.339,2.9282,0,0,29.3337,0,6.3758,0,0,0,6.5891,0.516,4.7526,13.4406,8.688,3.8888,10.5057,20.6179,6.6169,0.5218,5.1105,10.1122,5.0017,8.6729,0,12.7545,0,0,4.0816,,30:53.8,P,34,6
9,Dixon,100,62.7786,103.22,2.8856,0,0,29.2635,0,6.3536,0,0,0,6.6129,0.5174,4.7945,13.4114,8.6169,3.9625,10.469,20.6572,6.5065,0.519,5.1722,10.1882,5.016,8.7539,0,12.8579,0,0,4.104,K,31:56.5,P,34,0
8,Ericsson,1,65.3939,99.092,3.182,0,0,31.5019,0,7.1087,0,2078.45,0,7.2473,0.535,5.1489,13.9639,8.815,3.9177,10.6012,21.034,6.6835,0.5468,5.3173,10.4328,5.1155,8.6492,0,12.858,0,0,4.2088,,41:13.3,A,150,0
8,Ericsson,2,63.0023,102.853,2.9461,0,0,29.3539,0,6.3673,0,0,0,6.5511,0.5237,4.8913,13.4894,8.5981,3.9293,10.6505,20.8249,6.7212,0.5293,5.1316,10.1744,5.0428,8.5997,0,12.8235,0,0,4.2238,,42:16.3,A,150,0
8,Ericsson,3,62.5934,103.525,2.9648,0,0,29.1191,0,6.3044,0,0,0,6.5127,0.5268,4.8177,13.3372,8.5195,3.8456,10.5604,20.694,6.7148,0.5379,5.0783,10.1336,5.0553,8.5718,0,12.7803,0,0,4.2085,,43:18.9,A,150,0
8,Ericsson,4,62.515,103.655,2.9675,0,0,29.0892,0,6.2402,0,0,0,6.5252,0.5278,4.8081,13.3563,8.5482,3.8232,10.5215,20.6212,6.6983,0.5344,5.0441,10.0997,5.0556,8.5912,0,12.8046,0,0,4.2134,,44:21.4,A,150,0
8,Ericsson,5,62.3582,103.916,2.9574,0,0,28.9336,0,6.1976,0,0,0,6.5283,0.5277,0,13.2503,8.459,3.8267,10.5587,20.6109,6.732,0.5321,4.9893,10.0522,5.0629,8.5892,0,12.8137,0,0,4.2245,,45:23.8,A,150,0
8,Ericsson,6,62.3125,103.992,2.9559,0,0,28.8509,0,6.1257,0,0,0,6.5193,0.5255,4.7529,13.25,8.4971,3.8697,10.5894,20.6883,6.7197,0.5325,5.0188,10.0989,5.0801,8.535,0,12.7733,0,0,4.2383,,46:26.1,A,150,0
8,Ericsson,7,62.4861,103.703,2.9478,0,0,28.9203,0,6.1396,0,0,0,6.5296,0.5266,4.7421,13.3033,8.5612,3.886,10.6056,20.6771,6.7196,0.5345,5.0328,10.0715,5.0387,8.6485,0,12.8887,0,0,4.2402,,47:28.6,A,150,0
8,Ericsson,8,62.4633,103.741,2.9521,0,0,28.9369,0,6.1899,0,0,0,6.5349,0.5255,4.7266,13.26,8.5334,3.8273,10.5337,20.6037,6.7064,0.535,5.0337,10.07,5.0363,8.6748,0,12.9227,0,0,4.2479,,48:31.0,A,150,0
8,Ericsson,9,62.6816,103.38,2.9675,0,0,29.062,0,6.2111,0,0,0,6.5323,0.5327,4.9006,13.3511,8.4505,3.9012,10.615,20.7114,6.7138,0.5321,5.0374,10.0964,5.059,8.6734,0,12.9082,0,0,4.2348,,49:33.7,A,150,0
8,Ericsson,10,62.4435,103.774,2.9465,0,0,28.8634,0,6.1262,0,0,0,6.5478,0.527,4.6909,13.2429,8.552,3.8389,10.5519,20.6927,6.713,0.5339,5.0554,10.1408,5.0854,8.6547,0,12.8874,0,0,4.2327,,50:36.2,A,150,0
8,Ericsson,11,62.6411,103.446,2.9582,0,0,29.0916,0,6.2544,0,0,0,6.5366,0.5281,4.7503,13.3424,8.5921,3.8611,10.5682,20.627,6.7071,0.5343,5.0535,10.0588,5.0053,8.6741,0,12.9225,0,0,4.2484,,51:38.8,A,150,0
8,Ericsson,12,62.5446,103.606,2.9573,0,0,28.949,0,6.1984,0,0,0,6.5471,0.527,4.7452,13.2462,8.501,3.8356,10.5464,20.6725,6.7108,0.5369,5.0572,10.1261,5.0689,8.6958,0,12.9231,0,0,4.2273,,52:41.4,A,150,0
8,Ericsson,13,62.3877,103.867,2.9294,0,0,28.8628,0,6.1421,0,0,0,6.5373,0.5273,4.7441,13.254,8.5099,3.8937,10.5901,20.7375,6.6964,0.5318,5.0795,10.1474,5.0679,8.5621,0,12.7874,0,0,4.2253,,53:43.7,A,150,0
8,Ericsson,14,62.5611,103.579,2.9217,0,0,29.1661,0,6.2227,0,0,0,6.5504,0.5249,4.8642,13.4713,8.6071,3.8452,10.4928,20.6301,6.6476,0.5255,5.0809,10.1373,5.0564,8.6237,0,12.7649,0,0,4.1412,,54:46.3,A,150,0
8,Ericsson,15,62.1889,104.199,2.8922,0,0,28.728,0,6.1424,0,0,0,6.4785,0.5214,4.7379,13.2149,8.477,0,10.5211,20.6323,6.6376,0.5229,5.0872,10.1112,5.024,8.6613,0,12.8286,0,0,4.1673,,55:48.5,A,141,9
8,Ericsson,16,62.4432,103.774,2.8982,0,0,29.0238,0,6.2565,0,0,0,6.5376,0.5219,4.7032,13.3315,8.6283,3.8751,10.457,20.5878,6.5819,0.5209,5.0975,10.1308,5.0333,8.6573,0,12.8316,0,0,4.1743,,56:50.9,A,138,3
8,Ericsson,17,62.97,102.906,2.903,0,0,29.3236,0,6.3236,0,0,0,6.6002,0.5228,4.8304,13.4968,8.6664,3.9174,10.5869,20.8289,6.6695,0.5262,5.2597,10.242,4.9823,8.7239,0,12.8175,0,0,4.0936,,57:53.9,A,131,7
